of|IO|The color of the car is red.|(генитив)|Цвет автомобиля красный.
intergroup|JJ|The intergroup relations improved.|межгрупповой|Межгрупповые отношения улучшились.
hunted|JJ|The hunted animal was scared.|преследуемый|Преследуемое животное было напугано.
feverishly|RG|She worked feverishly.|лихорадочно|Она работала лихорадочно.
dickhead|NN1|He’s such a dickhead.|урод|Он такой урод.
vole|NN1|The vole burrowed underground.|полевка|Полевка зарылась под землю.
self-evaluation|NN1|Self-evaluation is crucial for growth.|самооценка|Самооценка имеет решающее значение для роста.
incentivize|VV0|They incentivize employees to work harder.|мотивировать|Они мотивируют сотрудников работать усерднее.
schmuck|NN1|He felt like a schmuck.|болван|Он чувствовал себя болваном.
eskimo|NN1|The Eskimo built an igloo.|эскимос|Эскимос построил иглу.
meow|VV0|The cat meows loudly.|мяукать|Кошка громко мяукает.
co-star|VV0|She will co-star in the film.|сниматься|Она будет сниматься в фильме.
spook|NN1|The spook vanished.|призрак|Призрак исчез.
undemocratic|JJ|The process was undemocratic.|недемократический|Процесс был недемократическим.
misconstrue|VV0|Don’t misconstrue my words.|искажать|Не искажайте мои слова.
viewership|NN1|The viewership increased.|аудитория|Аудитория увеличилась.
well-connected|JJ|He is well-connected in the industry.|влиятельный|Он влиятельный в этой отрасли.
left-handed|RG|She writes left-handed.|левой рукой|Она пишет левой рукой.
spectrometer|NN1|The spectrometer was calibrated.|спектрометр|Спектрометр был откалиброван.
valedictorian|NN1|The valedictorian gave a speech.|лучший выпускник|Лучший выпускник произнес речь.
algal|JJ|Algal blooms are harmful.|водорослевый|Цветение водорослей вредно.
interreligious|JJ|They held an interreligious dialogue.|межрелигиозный|Они провели межрелигиозный диалог.
afflicted|JJ|The afflicted man sought help.|страдающий|Страдающий человек искал помощи.
mangled|JJ|The mangled car was towed.|искалеченный|Искалеченная машина была отбуксирована.
legalized|JJ|The practice was legalized.|легализованный|Практика была легализована.
despondent|JJ|He felt despondent after the loss.|подавленный|Он чувствовал себя подавленным после поражения.
unaccustomed|JJ|She was unaccustomed to the cold.|непривычный|Она была непривычна к холоду.
exegesis|NN1|The exegesis was thorough.|экзегеза|Экзегеза была тщательной.
postman|NN1|The postman delivered letters.|почтальон|Почтальон доставил письма.
licensee|NN1|The licensee signed the contract.|лицензиат|Лицензиат подписал контракт.
clarion|NN1|The clarion call was heard.|трубный|Трубный зов был услышан.
lust|VV0|He lusts after power.|жаждать|Он жаждет власти.
nesting|JJ|The nesting birds were quiet.|гнездящийся|Гнездящиеся птицы были тихими.
programmable|JJ|The device was programmable.|программируемый|Устройство было программируемым.
ingrained|JJ|The habit was ingrained.|укоренившийся|Привычка была укоренившейся.
autographed|JJ|The autographed photo was valuable.|автограф|Фото с автографом было ценным.
outsized|JJ|His personality was outsized.|огромный|Его личность была огромной.
unabated|JJ|The storm continued unabated.|неослабленный|Шторм продолжался неослабленным.
hitman|NN1|The hitman was hired.|киллер|Киллер был нанят.
backswing|NN1|His backswing was perfect.|замах|Его замах был идеальным.
front-line|JJ|He was a front-line worker.|передовой|Он был передовым работником.
intensified|JJ|The campaign was intensified.|усиленный|Кампания была усилена.
moonlit|JJ|The moonlit path was beautiful.|лунный свет|Лунная тропа была прекрасной.
progressivism|NN1|Progressivism influenced policies.|прогрессивизм|Прогрессивизм влиял на политику.
biggie|NN1|That’s not a biggie.|важное дело|Это не важное дело.
surround|NN1|The surround was damaged.|окружение|Окружение было повреждено.
bulimia|NN1|Bulimia is a serious disorder.|булимия|Булимия — серьезное расстройство.
sorghum|NN1|They planted sorghum in the field.|сорго|Они посадили сорго в поле.
arresting|JJ|His arresting eyes drew attention.|притягивающий|Его притягивающие глаза привлекли внимание.
crafted|JJ|The chair was finely crafted.|изготовленный|Стул был изящно изготовлен.
meatloaf|NN1|The meatloaf was delicious.|мясной рулет|Мясной рулет был вкусным.
at-home|JJ|She runs an at-home business.|домашний|Она ведет домашний бизнес.
overcrowd|VV0|Don't overcrowd the room.|переполнять|Не переполняйте комнату.
squirt|NN1|He took a squirt of ketchup.|брызг|Он взял брызг кетчупа.
thirst|VV0|They thirst for knowledge.|жаждать|Они жаждут знаний.
hodgepodge|NN1|The collection was a hodgepodge.|мешанина|Коллекция была мешаниной.
shoals|NN2|The fish swam in shoals.|косяк|Рыбы плавали косяком.
entrapment|NN1|They claimed entrapment as a defense.|провокация|Они заявили о провокации как о защите.
nationalization|NN1|The nationalization was controversial.|национализация|Национализация была спорной.
lumbering|JJ|The lumbering giant moved slowly.|неуклюжий|Неуклюжий гигант двигался медленно.
abbot|NN1|The abbot led the monks.|аббат|Аббат вел монахов.
dark-skinned|JJ|He is a dark-skinned man.|темнокожий|Он темнокожий мужчина.
subspace|NN1|The data was sent through subspace.|подпространство|Данные были отправлены через подпространство.
replant|VV0|They will replant the trees.|пересаживать|Они пересадят деревья.
osteoarthritis|NN1|Osteoarthritis affects many people.|остеоартрит|Остеоартрит затрагивает многих людей.
locator|NN1|The locator was activated.|локатор|Локатор был активирован.
nip|NN1|He took a nip of whiskey.|глоток|Он сделал глоток виски.
revealed|JJ|The revealed secrets shocked everyone.|раскрытый|Раскрытые секреты шокировали всех.
frostbite|NN1|He suffered frostbite on his toes.|обморожение|Он получил обморожение пальцев.
woodworking|NN1|He enjoys woodworking as a hobby.|столярное дело|Ему нравится столярное дело как хобби.
diamondback|NN1|The diamondback rattlesnake was coiled.|змея|Гремучая змея свернулась кольцом.
undiagnosed|JJ|The condition was undiagnosed for years.|не диагностированный|Состояние не было диагностировано годами.
puma|NN1|The puma prowled silently.|пума|Пума бесшумно кралась.
dilation|NN1|The dilation was monitored.|расширение|Расширение было отслежено.
mmmm|UH|Mmmm, this tastes great!|ммм|Ммм, это вкусно!
spongy|JJ|The cake was spongy.|губчатый|Торт был губчатым.
acrid|JJ|The smell was acrid.|едкий|Запах был едким.
geisha|NN1|The geisha performed gracefully.|гейша|Гейша выступила грациозно.
decoding|NN1|The decoding was successful.|декодирование|Декодирование было успешным.
workmanship|NN1|The workmanship was excellent.|мастерство|Мастерство было отличным.
knoll|NN1|The house sat on a knoll.|холм|Дом стоял на холме.
bios|NN2|He saved the BIOS settings.|BIOS|Он сохранил настройки BIOS.
pedophilia|NN1|Pedophilia is illegal.|педофилия|Педофилия является незаконной.
gleeful|JJ|She gave a gleeful laugh.|радостный|Она радостно засмеялась.
underbrush|NN1|They hid in the underbrush.|подлесок|Они спрятались в подлеске.
none|RG|None could deny it.|никто|Никто не мог это отрицать.
collectibles|NN2|The store sold collectibles.|коллекционные предметы|Магазин продавал коллекционные предметы.
first-half|JJ|The first-half performance was strong.|первая половина|Первое полугодие было сильным.
frisk|VV0|The guard will frisk you.|обыскивать|Охранник обыщет вас.
dyad|NN1|The dyad worked well together.|диада|Диада хорошо работала вместе.
musicianship|NN1|Her musicianship was impressive.|мастерство музыканта|Ее мастерство музыканта было впечатляющим.
coptic|JJ|The Coptic church is ancient.|коптский|Коптская церковь древняя.
restful|JJ|The vacation was restful.|успокаивающий|Отпуск был успокаивающим.
mid-sized|JJ|They bought a mid-sized car.|среднего размера|Они купили машину среднего размера.
windrow|NN1|The windrow was thick.|волок|Волок был густым.
dazzle|NN1|The dazzle of lights was stunning.|ослепление|Ослепление от света было ошеломляющим.
moccasin|NN1|He wore moccasins indoors.|мокасин|Он носил мокасины дома.
apostasy|NN1|Apostasy was punishable by death.|отступничество|Отступничество каралось смертью.
quicksand|NN1|The quicksand was treacherous.|зыбучие пески|Зыбучие пески были коварны.
gnat|NN1|The gnat buzzed around.|мошка|Мошка жужжала вокруг.
bolshevik|NN1|The Bolshevik revolution changed history.|большевик|Большевистская революция изменила историю.
awed|JJ|She was awed by the view.|восхищенный|Она была восхищена видом.
infirmity|NN1|His infirmity limited him.|немощь|Его немощь ограничивала его.
cursed|JJ|The cursed object was feared.|проклятый|Проклятого предмета боялись.
icky|JJ|The substance was icky.|мерзкий|Вещество было мерзким.
tuscan|JJ|The Tuscan villa was beautiful.|тосканский|Тосканская вилла была прекрасна.
refresher|NN1|The course was a good refresher.|освежающий курс|Курс был хорошим освежением.
zigzag|NN1|The path was a zigzag.|зигзаг|Путь был зигзагом.
foible|NN1|His foible was endearing.|слабость|Его слабость была очаровательной.
storehouse|NN1|The storehouse was full.|кладовая|Кладовая была полна.
imitator|NN1|The imitator was convincing.|имитатор|Имитатор был убедительным.
flatbed|JJ|They used a flatbed truck.|плоская платформа|Они использовали грузовик с плоской платформой.
renovated|JJ|The house was renovated.|отремонтированный|Дом был отремонтирован.
core|VV0|They core the apple before slicing.|удалять сердцевину|Они удаляют сердцевину яблока перед нарезкой.
sweeper|NN1|The sweeper cleaned the floor.|уборщик|Уборщик убрал пол.
inoculation|NN1|Inoculation saved many lives.|вакцинация|Вакцинация спасла много жизней.
stein|NN1|He drank from a stein.|кувшин|Он пил из кувшина.
trounce|VV0|They trounce their rivals.|разгромить|Они разгромили своих соперников.
congestive|JJ|He was diagnosed with congestive heart failure.|застойный|У него был диагностирован застойный сердечный недостаток.
turmeric|JJ|Turmeric is used in curries.|куркума|Куркума используется в карри.
denominational|JJ|They belong to a denominational group.|конфессиональный|Они принадлежат к конфессиональной группе.
mucosa|NN1|The mucosa was inflamed.|слизистая|Слизистая была воспалена.
multiyear|JJ|It’s a multiyear contract.|многолетний|Это многолетний контракт.
blinders|NN2|The horse wore blinders.|шоры|Лошадь была в шорах.
in-store|JJ|They offered in-store discounts.|в магазине|Они предложили скидки в магазине.
behoove|VV0|It would behoove you to listen.|следовать|Вам следовало бы послушать.
botox|NN1|She got botox injections.|ботокс|Она получила инъекции ботокса.
smoldering|JJ|The smoldering fire was dangerous.|тлеющий|Тлеющий огонь был опасен.
condensate|NN1|The condensate dripped slowly.|конденсат|Конденсат медленно капал.
spacer|NN1|The spacer was missing.|прокладка|Прокладка отсутствовала.
unselfish|JJ|He was known for his unselfish acts.|бескорыстный|Он был известен своими бескорыстными поступками.
dipping|JJ|The dipping sauce was spicy.|соус для макания|Соус для макания был острым.
levitate|VV0|The magician made the object levitate.|парить|Фокусник заставил предмет парить.
emotive|JJ|His speech was emotive.|эмоциональный|Его речь была эмоциональной.
mettle|NN1|He showed his mettle in the fight.|стойкость|Он показал свою стойкость в бою.
radicalization|NN1|The radicalization of the youth was alarming.|радикализация|Радикализация молодежи вызывала тревогу.
unearned|JJ|The victory felt unearned.|незаслуженный|Победа казалась незаслуженной.
kelp|NN1|The kelp swayed in the water.|ламинария|Ламинария качалась в воде.
paralegal|JJ|She completed paralegal training.|параюридический|Она прошла параюридическую подготовку.
spigot|NN1|The spigot was turned off.|кран|Кран был выключен.
unmoving|JJ|The figure was unmoving.|неподвижный|Фигура была неподвижной.
neoconservative|JJ|He has neoconservative views.|неоконсервативный|У него неоконсервативные взгляды.
contented|JJ|The dog looked contented.|довольный|Собака выглядела довольной.
traipse|VV0|They traipse through the forest.|бродить|Они бродили по лесу.
waterboarding|NN1|Waterboarding is controversial.|утопление|Утопление в воде вызывает споры.
cataclysm|NN1|The cataclysm destroyed the town.|катаклизм|Катаклизм уничтожил город.
flamenco|NN1|She danced the flamenco passionately.|фламенко|Она страстно танцевала фламенко.
accelerometer|NN1|The accelerometer measured the speed.|акселерометр|Акселерометр измерил скорость.
obelisk|NN1|The obelisk stood tall.|обелиск|Обелиск возвышался.
heaving|NN1|The heaving sea was rough.|волнующийся|Волнующееся море было бурным.
kindergartner|NN1|The kindergartner was excited for school.|дошкольник|Дошкольник был взволнован школой.
cellophane|NN1|The gift was wrapped in cellophane.|целлофан|Подарок был завернут в целлофан.
frigate|NN1|The frigate sailed away.|фрегат|Фрегат уплыл.
fucked-up|JJ|He had a fucked-up day.|отстойный|У него был отстойный день.
decade-long|JJ|It was a decade-long project.|десятилетний|Это был десятилетний проект.
photosynthetic|JJ|The process is photosynthetic.|фотосинтетический|Процесс фотосинтетический.
lawman|NN1|The lawman enforced the rules.|шериф|Шериф соблюдал правила.
sponge|VV0|They sponge the spill.|вытирать|Они вытирают разлив.
figurehead|NN1|The king was a figurehead.|символ|Король был символом.
transferable|JJ|The credits are transferable.|переводимый|Кредиты переводимы.
invective|NN1|His invective was harsh.|брань|Его брань была жестокой.
remiss|JJ|He was remiss in his duties.|небрежный|Он был небрежен в своих обязанностях.
amazonian|JJ|They explored the Amazonian jungle.|амазонский|Они исследовали амазонские джунгли.
unsympathetic|JJ|She was unsympathetic to his plight.|безразличный|Ей было безразлично его бедственное положение.
clog|NN1|The clog blocked the drain.|засор|Засор заблокировал слив.
deferential|JJ|He was deferential to his elders.|почтительный|Он был почтителен к своим старшим.
eye-popping|JJ|The design was eye-popping.|поразительный|Дизайн был поразительным.
stork|NN1|The stork delivered the baby.|аист|Аист принес ребенка.
blue-chip|JJ|They invested in blue-chip stocks.|голубая фишка|Они вложились в голубые фишки.
telepathy|NN1|They believed in telepathy.|телепатия|Они верили в телепатию.
aqueous|JJ|The solution was aqueous.|водный|Раствор был водным.
praying|NN1|Praying is a daily ritual.|молитва|Молитва — это ежедневный ритуал.
holiday|VV0|They holiday in the mountains.|отдыхать|Они отдыхают в горах.
sawmill|NN1|The sawmill processed lumber.|лесопилка|Лесопилка обрабатывала древесину.
bowman|NN1|The bowman took aim.|лучник|Лучник прицелился.
servicing|NN1|The servicing was thorough.|обслуживание|Обслуживание было тщательным.
empiricism|NN1|Empiricism guides their research.|эмпиризм|Эмпиризм направляет их исследования.
heredity|NN1|Heredity plays a role in health.|наследственность|Наследственность играет роль в здоровье.
crisply|RG|She crisply answered the question.|четко|Она четко ответила на вопрос.
warlock|NN1|The warlock cast a spell.|колдун|Колдун наложил заклинание.
culpa|NN1|Culpa was assigned to him.|вина|Вина была возложена на него.
starched|JJ|The shirt was starched.|накрахмаленный|Рубашка была накрахмалена.
licorice|NN1|She loves licorice candy.|лакрица|Она любит лакричные конфеты.
causeway|NN1|The causeway was long.|дамба|Дамба была длинной.
recombinant|JJ|The bacteria were recombinant.|рекомбинантный|Бактерии были рекомбинантными.
impeachable|JJ|The act was impeachable.|наказуемый|Деяние было наказуемым.
derived|JJ|The product was derived from plants.|полученный|Продукт был получен из растений.
exorcize|VV0|They will exorcize the demons.|изгонять|Они будут изгонять демонов.
etymology|NN1|Etymology traces word origins.|этимология|Этимология отслеживает происхождение слов.
islet|NN1|The islet was tiny.|островок|Островок был крошечным.
weedy|JJ|The garden was weedy.|заросший сорняками|Сад был заросший сорняками.
biotic|JJ|The biotic factors were analyzed.|биотический|Биотические факторы были проанализированы.
fermented|JJ|The drink was fermented.|ферментированный|Напиток был ферментированным.
investigating|JJ|The investigating team arrived.|расследующий|Прибыла расследующая группа.
bedevil|VV0|They bedevil their opponents.|мучить|Они мучают своих противников.
croquet|NN1|They played croquet on the lawn.|крокет|Они играли в крокет на лужайке.
shifty|JJ|His eyes were shifty.|изворотливый|Его глаза были изворотливыми.
ocr|NN1|The OCR software worked well.|OCR|Программа OCR работала хорошо.
punching|NN1|The punching was loud.|удары|Удары были громкими.
mongolian|JJ|They enjoyed Mongolian cuisine.|монгольский|Они наслаждались монгольской кухней.
demure|JJ|She gave a demure smile.|скромный|Она скромно улыбнулась.
overheating|NN1|The car had an overheating problem.|перегрев|У машины была проблема перегрева.
blight|VV0|The disease blights crops.|поражать|Болезнь поражает урожай.
duplicity|NN1|His duplicity was revealed.|двуличие|Его двуличие было раскрыто.
glyph|NN1|The glyph was ancient.|глиф|Глиф был древним.
perishable|JJ|The goods were perishable.|скоропортящийся|Товары были скоропортящимися.
hairpin|NN1|She lost her hairpin.|шпилька|Она потеряла свою шпильку.
ummm|UH|Ummm, I’m not sure.|ммм|Ммм, я не уверен.
ferociously|RG|The dog barked ferociously.|свирепо|Собака свирепо лаяла.
enlightening|JJ|The talk was enlightening.|просветляющий|Речь была просветляющей.
ever-expanding|JJ|The ever-expanding universe fascinates scientists.|все расширяющаяся|Все расширяющаяся вселенная завораживает ученых.
queer|NN1|They studied queer theory.|квир|Они изучали квир-теорию.
overcharge|VV0|They overcharge for drinks.|переплачивать|Они переплачивают за напитки.
drawn-out|JJ|The process was drawn-out.|затянувшийся|Процесс был затянувшимся.
rowboat|NN1|They rowed the rowboat gently.|весельная лодка|Они плавали на весельной лодке аккуратно.
hearted|JJ|She was warm-hearted.|добросердечный|Она была добросердечной.
raunchy|JJ|The movie was raunchy.|пошлый|Фильм был пошлым.
short-change|VV0|Don’t short-change the customers.|обсчитывать|Не обсчитывайте клиентов.
culvert|NN1|The culvert was blocked.|труба|Труба была заблокирована.
parkway|NN1|The parkway was scenic.|парквей|Парквей был живописным.
mulatto|NN1|He identified as mulatto.|мулат|Он идентифицировал себя как мулат.
free-trade|JJ|They discussed free-trade agreements.|свободная торговля|Они обсудили соглашения о свободной торговле.
quibble|NN1|The quibble was minor.|придирка|Придирка была незначительной.
tatters|NN2|His clothes were in tatters.|лохмотья|Его одежда была в лохмотьях.
americanization|NN1|Americanization spread quickly.|американизация|Американизация распространялась быстро.
overstuffed|JJ|The chair was overstuffed.|переполненный|Кресло было переполнено.
generated|JJ|The report was computer-generated.|сгенерированный|Отчет был сгенерирован компьютером.
drivetrain|NN1|The drivetrain was damaged.|трансмиссия|Трансмиссия была повреждена.
noncommittal|JJ|He was noncommittal about the plan.|неопределенный|Он был неопределенным в отношении плана.
flabby|JJ|His arms were flabby.|дряблый|Его руки были дряблыми.
misunderstood|JJ|He felt misunderstood.|непонятый|Он чувствовал себя непонятым.
ex|JJ|He is her ex-boyfriend.|бывший|Он ее бывший парень.
mediated|JJ|The conversation was mediated.|опосредованный|Разговор был опосредованным.
turnstile|NN1|The turnstile was stuck.|турникет|Турникет застрял.
petticoat|NN1|She wore a petticoat under her dress.|нижняя юбка|Она носила нижнюю юбку под платьем.
carmine|NN1|The carmine color was striking.|кармин|Цвет кармина был поразительным.
saltwater|NN1|The lake is saltwater.|соленая вода|Озеро соленое.
theism|NN1|Theism is belief in a deity.|теизм|Теизм — это вера в божество.
brazenly|RG|He brazenly lied to everyone.|нагло|Он нагло лгал всем.
kudzu|NN1|Kudzu covered the hillside.|кудзу|Кудзу покрыл склон холма.
acidification|NN1|Ocean acidification is a concern.|закисление|Закисление океана вызывает беспокойство.
inverse|NN1|The inverse was true.|обратное|Обратное было правдой.
olden|JJ|He spoke of olden times.|древний|Он говорил о древних временах.
happenstance|NN1|It was pure happenstance.|случайность|Это была чистая случайность.
temporally|RG|The events were temporally linked.|временнó|События были связаны временнó.
chalky|JJ|The taste was chalky.|меловой|Вкус был меловым.
court-ordered|JJ|He followed court-ordered guidelines.|судебный|Он следовал судебным указаниям.
mucosal|JJ|The mucosal lining was examined.|слизистый|Слизистая оболочка была исследована.
unsurprising|JJ|The result was unsurprising.|неудивительный|Результат был неудивительным.
portly|JJ|The man was portly.|полный|Мужчина был полным.
hand-to-hand|JJ|They engaged in hand-to-hand combat.|рукопашный|Они вступили в рукопашный бой.
soul-searching|NN1|He did some soul-searching.|самоанализ|Он занялся самоанализом.
deceleration|NN1|The deceleration was smooth.|замедление|Замедление было плавным.
governess|NN1|The governess cared for the children.|гувернантка|Гувернантка заботилась о детях.
malay|JJ|He studied Malay history.|малайский|Он изучал малайскую историю.
footman|NN1|The footman opened the door.|лакей|Лакей открыл дверь.
opportune|JJ|It was an opportune moment.|подходящий|Это был подходящий момент.
mortally|RG|He was mortally wounded.|смертельно|Он был смертельно ранен.
rebounder|NN|The rebounder caught the ball.|отбивающий|Отбивающий поймал мяч.
officeholder|NN|The officeholder gave a speech.|должностное лицо|Должностное лицо произнесло речь.
functionary|NN|The functionary followed orders.|чиновник|Чиновник выполнял приказы.
armoire|NN|The armoire was full of clothes.|шкаф|Шкаф был полон одежды.
protease|NN|Protease is an important enzyme.|протеаза|Протеаза - важный фермент.
cordon|NN|The cordon blocked the entrance.|кордон|Кордон заблокировал вход.
ageless|JJ|Her beauty was ageless.|вневременный|Ее красота была вневременной.
underrate|VV0|Don't underrate his skills.|недооценивать|Не недооценивай его навыки.
cirrhosis|NN|Cirrhosis damaged his liver.|цирроз|Цирроз повредил его печень.
ionize|VV0|They ionize the air.|ионизировать|Они ионизируют воздух.
athenian|NN|The Athenian spoke wisely.|афинянин|Афинянин говорил мудро.
arbitrage|NN|Arbitrage opportunities were rare.|арбитраж|Возможности для арбитража были редки.
campy|JJ|The movie was campy but fun.|китчевый|Фильм был китчевым, но веселым.
excommunicate|VV0|They excommunicate the heretic.|отлучать|Они отлучают еретика.
codex|NN|The codex was ancient.|кодекс|Кодекс был древним.
infamy|NN|The event lives in infamy.|позор|Событие останется в позоре.
formalism|NN|Formalism shaped his art.|формализм|Формализм сформировал его искусство.
kelvin|NN|The temperature was measured in kelvin.|кельвин|Температура измерялась в кельвинах.
effeminate|JJ|He had an effeminate manner.|женоподобный|У него были женоподобные манеры.
shamrock|NN|The shamrock is a symbol of luck.|трилистник|Трилистник является символом удачи.
filtered|JJ|The water was filtered.|фильтрованный|Вода была фильтрованной.
swampy|JJ|The land was swampy.|болотистый|Земля была болотистой.
tribalism|NN|Tribalism divided the people.|трибализм|Трибализм разделил людей.
freakish|JJ|The storm was freakish.|странный|Шторм был странным.
excoriate|VV0|They excoriate his behavior.|жестко критиковать|Они жестко критикуют его поведение.
neurologic|JJ|She had a neurologic disorder.|неврологический|У нее было неврологическое расстройство.
watchtower|NN|The watchtower stood tall.|сторожевая башня|Сторожевая башня возвышалась.
peck|NN|The bird gave a peck.|клевок|Птица сделала клевок.
sacrosanct|JJ|The rules were sacrosanct.|священный|Правила были священными.
singe|VV0|The fire singed the edges.|обжигать|Огонь обжег края.
libelous|JJ|The article was libelous.|клеветнический|Статья была клеветнической.
disassociate|VV0|They disassociate from the scandal.|отмежевываться|Они отмежевываются от скандала.
torturer|NN|The torturer was merciless.|пытатель|Пытатель был безжалостен.
moonshine|NN|He brewed moonshine in the woods.|самогон|Он гнал самогон в лесу.
quack|VV0|They quack like ducks.|крякать|Они крякают, как утки.
vitriolic|JJ|The debate was vitriolic.|язвительный|Дебаты были язвительными.
bramble|NN|The bramble scratched his leg.|ежевика|Ежевика поцарапала его ногу.
macroscopic|JJ|The pattern was macroscopic.|макроскопический|Рисунок был макроскопическим.
turner|NN|The turner shaped the wood.|токарь|Токарь придал форму дереву.
spoof|VV0|They spoof the movie.|пародировать|Они пародируют фильм.
offhand|JJ|His offhand remark was surprising.|небрежный|Его небрежное замечание удивило.
pinhead|NN|The pinhead was tiny.|игольное ушко|Игольное ушко было крошечным.
discoverer|NN|The discoverer made history.|первооткрыватель|Первооткрыватель вошел в историю.
polemical|JJ|His views were polemical.|полемический|Его взгляды были полемическими.
homeroom|NN|They gathered in homeroom.|класс|Они собрались в классе.
topaz|NN|The ring had a topaz gem.|топаз|В кольце был топаз.
dialogic|JJ|The discussion was dialogic.|диалогический|Обсуждение было диалогическим.
bop|VV0|They bop to the music.|танцевать|Они танцуют под музыку.
admittance|NN|He gained admittance easily.|доступ|Он легко получил доступ.
toy|JJ|The toy car was small.|игрушечный|Игрушечная машина была маленькой.
prophylactic|JJ|The drug was prophylactic.|профилактический|Лекарство было профилактическим.
ruffled|JJ|Her ruffled dress was pretty.|оборчатый|Ее платье с оборками было красивым.
low-profile|JJ|He kept a low-profile.|скромный|Он вел скромный образ жизни.
reprise|NN|The song had a reprise.|реприза|В песне была реприза.
cheyenne|NN|The Cheyenne people have a rich history.|шейенн|Народ шейенн имеет богатую историю.
ditty|NN|He hummed a little ditty.|песенка|Он напевал маленькую песенку.
wench|NN|The wench served the drinks.|служанка|Служанка подавала напитки.
ocular|JJ|He had ocular surgery.|глазной|Ему сделали глазную операцию.
integrator|NN|The integrator merged the systems.|интегратор|Интегратор объединил системы.
sea-level|JJ|The sea-level rise is concerning.|уровень моря|Повышение уровня моря вызывает беспокойство.
bod|NN|He has a strong bod.|тело|У него крепкое тело.
cymbal|NN|The drummer hit the cymbal.|тарелка|Барабанщик ударил по тарелке.
hoarder|NN|The hoarder kept everything.|плюшкин|Плюшкин хранил все подряд.
narrow-minded|JJ|His views were narrow-minded.|узколобый|Его взгляды были узколобыми.
up-and-down|JJ|The market was up-and-down today.|нестабильный|Рынок был нестабильным сегодня.
obligated|JJ|She felt obligated to go.|обязан|Она чувствовала себя обязанной пойти.
bugle|NN|The bugle sounded the alarm.|горн|Горн прозвучал тревогу.
anointed|JJ|The anointed leader took charge.|помазанный|Помазанный лидер взял на себя руководство.
monthly|NN|The monthly arrived on time.|ежемесячный журнал|Ежемесячный журнал прибыл вовремя.
unsay|VV0|You can't unsay hurtful words.|взять назад|Ты не можешь взять назад обидные слова.
conformation|NN|The conformation was crucial.|конформация|Конформация была решающей.
identically|RR|The twins dressed identically.|одинаково|Близнецы одевались одинаково.
retrofit|NN|The building received a retrofit.|модернизация|Здание подверглось модернизации.
curate|NN|The curate led the service.|курáт|Курáт вел службу.
framing|JJ|The framing of the house was solid.|каркасный|Каркас дома был прочным.
soundness|NN|The soundness of the plan was evident.|обоснованность|Обоснованность плана была очевидна.
well-suited|JJ|He was well-suited for the role.|подходящий|Он был подходящим для этой роли.
peasantry|NN|The peasantry worked the fields.|крестьянство|Крестьянство работало в полях.
plotline|NN|The plotline was complex.|сюжетная линия|Сюжетная линия была сложной.
leaden|JJ|The sky was leaden with clouds.|свинцовый|Небо было свинцовым от облаков.
pizzeria|NN|They ate at the pizzeria.|пиццерия|Они ели в пиццерии.
prior|NN|The prior led the monks.|настоятель|Настоятель вел монахов.
minotaur|NN|The minotaur guarded the maze.|минотавр|Минотавр охранял лабиринт.
scorching|JJ|The sun was scorching.|палящее|Солнце было палящим.
advance|JJ|He made an advance payment.|предварительный|Он сделал предварительный платеж.
flagstone|NN|The path was made of flagstone.|плитняк|Тропа была сделана из плитняка.
carburetor|NN|The carburetor needed cleaning.|карбюратор|Карбюратор нуждался в чистке.
ungainly|JJ|The bird's flight was ungainly.|неуклюжий|Полет птицы был неуклюжим.
ageing|JJ|The ageing process was gentle.|старение|Процесс старения был мягким.
sunbathe|VV0|They sunbathe on the beach.|загорать|Они загорают на пляже.
chipotle|NN|They added chipotle to the dish.|чиле|Они добавили чиле в блюдо.
councilor|NN|The councilor gave a speech.|советник|Советник произнес речь.
binocular|JJ|He used binocular vision.|бинокулярный|Он использовал бинокулярное зрение.
introduced|JJ|The introduced species thrived.|введенный|Введенные виды процветали.
cityscape|NN|The cityscape was stunning.|городской пейзаж|Городской пейзаж был потрясающим.
unimpeded|JJ|The path was unimpeded.|беспрепятственный|Путь был беспрепятственным.
attire|VV0|They attire the bride beautifully.|одевать|Они красиво одевают невесту.
unceremoniously|RR|He was unceremoniously fired.|бесцеремонно|Его бесцеремонно уволили.
nonexistence|NN|The nonexistence of evidence was clear.|отсутствие|Отсутствие доказательств было очевидно.
enslaved|JJ|The enslaved people sought freedom.|порабощенный|Порабощенные люди искали свободу.
apocryphal|JJ|The story was apocryphal.|апокрифический|История была апокрифической.
judging|NN|The judging was strict.|судейство|Судейство было строгим.
corrective|NN|He needed a corrective.|корректирующее средство|Ему нужно было корректирующее средство.
well-liked|JJ|He was well-liked by all.|любимый|Его любили все.
toner|NN|The printer needed more toner.|тонер|Принтеру нужно было больше тонера.
record-keeping|NN|The record-keeping was meticulous.|учет|Учет был тщательным.
mayan|NN|The Mayan civilization was advanced.|майя|Цивилизация майя была продвинутой.
pro-business|JJ|The policies were pro-business.|про-бизнес|Политика была про-бизнес.
slough|VV0|The snake will slough its skin.|сбрасывать|Змея сбросит свою кожу.
gradation|NN|The gradation was subtle.|градация|Градация была тонкой.
quilt|VV0|They quilt beautiful patterns.|шить лоскутное одеяло|Они шьют красивые лоскутные одеяла.
whorehouse|NN|The whorehouse was raided.|публичный дом|Публичный дом подвергся обыску.
actin|NN|Actin plays a role in muscle movement.|актин|Актин играет роль в движении мышц.
