|part_of_speech|word_de|word_forms_de|sentence_de|word_meanings_en|word_en|sentence_en
2296|die|die Niederlage|die Niederlagen|Die Niederlage schmerzt ihn tief.|defeat|defeat|The defeat hurts him deeply.
2297|der|der Termin|die Termine|Der Termin beim Arzt steht fest.|appointment, date|appointment|The appointment with the doctor is set.
2298|adj|angenehm||Das angenehme Gespräch endet positiv.|pleasant|pleasant|The pleasant conversation ended positively.
2299|die|die Synthese|die Synthesen|Die Synthese gelang im Labor problemlos.|synthesis|synthesis|The synthesis was successfully completed in the lab.
2300|das|das Drama|die Dramaen|Das Drama entfaltete sich langsam.|drama|drama|The drama unfolded slowly.
2301|der|der Konsum||Der Konsum von Zucker nimmt zu.|consumption|consumption|The consumption of sugar is increasing.
2302|die|die Vorschrift|die Vorschriften|Die Vorschrift wurde geändert.|instruction, regulation|regulation|The regulation was changed.
2303|adj|winzig||In dem winzigen Raum steht nur ein Bett.|tiny|tiny|There is only a bed in the tiny room.
2304|der|der Flug|die Flüge|Der Flug dauerte acht Stunden.|flight|flight|The flight lasted eight hours.
2305|das|das Holz|die Hölzer|Er hackte Holz für den Winter.|wood|wood|He chopped wood for the winter.
2306|adj|künstlerisch||Ihr künstlerischer Stil ist einzigartig.|artistic|artistic|Her artistic style is unique.
2307|die|die Förderung|die Förderungen|Die Förderung kam von der Regierung.|support, promotion, funding|funding|The funding came from the government.
2308|der|der Impuls|die Impulse|Ein starker Impuls bewegte den Pendel.|stimulus, impulse|impulse|A strong impulse moved the pendulum.
2309|die|die Planung|die Planungen|Die Planung der Reise war schwierig.|planning, plan|planning|The planning of the trip was difficult.
2310|der|der Verdacht|die Verdachte|Der Verdacht fiel auf den Nachbarn.|suspicion|suspicion|The suspicion fell on the neighbor.
2311|verb|vorgeben|vorgeben, gibt vor, gab vor, hat vorgegeben|Er gibt vor, nichts zu wissen.|to use as an excuse, set in advance, pretend|to pretend|He pretends to know nothing.
2312|der|der Witz|die Witze|Er erzählte einen lustigen Witz.|joke|joke|He told a funny joke.
2313|adj|aufmerksam||Der aufmerksame Zuhörer stellte Fragen.|attentive|attentive|The attentive listener asked questions.
2314|der|der Mangel|die Mängel|Es gibt einen Mangel an Wasser.|lack, shortage, defect|lack|There is a lack of water.
2315|verb|ausführen|ausführen, führt aus, führte aus, hat ausgeführt|Er führte die Aufgabe präzise aus.|to carry out, perform|to carry out|He carried out the task precisely.
2316|adj|analog||Das analoge System wird ersetzt.|analog, analogous|analog|The analog system is being replaced.
2317|verb|befürchten|befürchten, befürchtet, befürchtete, hat befürchtet|Sie befürchten das Schlimmste.|to fear|to fear|They fear the worst.
2318|prep|hinsichtlich||Hinsichtlich dessen bin ich zufrieden.|with regard to|with regard to|With regard to that, I am satisfied.
2319|die|die Katze|die Katzen|Die Katze sprang leise auf den Tisch.|cat|cat|The cat jumped quietly onto the table.
2320|adj|äußere|äußere, äußerer, äußeres|Das äußere Tor war verschlossen.|outer, external|outer|The outer gate was locked.
2321|die|die Halle|die Hallen|Die Halle war voll mit Menschen.|hall|hall|The hall was full of people.
2322|die|die Häufigkeit|die Häufigkeiten|Die Häufigkeit der Ereignisse nimmt zu.|frequency|frequency|The frequency of events is increasing.
2323|das|das Kapital|die Kapitale|Das Kapital des Unternehmens wächst.|capital|capital|The company's capital is growing.
2324|die|die Revolution|die Revolutionen|Die Revolution veränderte alles.|revolution|revolution|The revolution changed everything.
2325|verb|zuordnen|zuordnen, ordnet zu, ordnete zu, hat zugeordnet|Er ordnet die Dateien dem Projekt zu.|to assign, classify|to assign|He assigns the files to the project.
2326|verb|aussetzen|aussetzen, setzt aus, setzte aus, hat ausgesetzt|Er musste das Training kurz aussetzen.|to suspend, expose, skip, sit out|skip|He had to skip the training briefly.
2327|der|der Lohn|die Löhne|Der Lohn wurde pünktlich überwiesen.|wage, pay, reward|wage|The wage was transferred on time.
2328|das|das Vermögen|die Vermögen|Das Vermögen wurde gerecht verteilt.|assets, fortune, ability|assets|The assets were distributed fairly.
2329|die|die Verwaltung|die Verwaltungen|Die Verwaltung arbeitet effizient.|administration|administration|The administration works efficiently.
2330|conj|zumal||Er war nervös, zumal es spät war.|particularly, especially|especially|He was nervous, especially since it was late.
2331|das|das Kohlenstoffdioxid||Kohlenstoffdioxid ist ein Gas.|carbon dioxide|carbon dioxide|Carbon dioxide is a gas.
2332|adj|ordentlich||Das Büro ist immer ordentlich.|neat, proper, orderly|neat|The office is always neat.
2333|verb|stoppen|stoppen, stoppt, stoppte, hat gestoppt|Er stoppte den Wagen rechtzeitig.|to stop|to stop|He stopped the car in time.
2334|der|der Bundeskanzler|die Bundeskanzler|Der Bundeskanzler sprach zur Nation.|federal chancellor|federal chancellor|The Federal Chancellor spoke to the nation.
2335|der|der Rat|die Räte|Der Rat des Lehrers war hilfreich.|advice|advice|The teacher's advice was helpful.
2336|der|der Bewohner|die Bewohner|Die Bewohner waren freundlich.|inhabitant, resident, occupant|resident|The residents were friendly.
2337|adj|gewöhnlich||Er führt ein ganz gewöhnliches Leben.|usual|usual|He leads a very usual life.
2338|adj|großartig||Das Konzert war einfach großartig.|great, splendid, superb, terrific|great|The concert was simply great.
2339|verb|trainieren|trainieren, trainiert, trainierte, hat trainiert|Er trainiert täglich im Fitnessstudio.|to train, coach|to train|He trains daily at the gym.
2340|die|die Variante|die Varianten|Es gibt eine neue Variante des Spiels.|variant, variation|variant|There is a new variant of the game.
2341|das|das Medikament|die Medikamente|Das Medikament wirkt sehr schnell.|medicine, drug|medicine|The medicine works very quickly.
2342|der|der Ring|die Ringe|Der Ring fiel zu Boden und rollte weg.|ring|ring|The ring fell to the ground and rolled away.
2343|adj|beliebig||Wählen Sie eine beliebige Option aus.|any, as you like|any|Select any option you like.
2344|das|das HGB (Handelsgesetzbuch)||Das HGB regelt den Handel genau.|Commercial Code|Commercial Code|The Commercial Code regulates trade precisely.
2345|verb|versetzen|versetzen, versetzt, versetzte, hat versetzt|Er wurde nach Berlin versetzt.|to move, transfer|to transfer|He was transferred to Berlin.
2346|verb|verurteilen|verurteilen, verurteilt, verurteilte, hat verurteilt|Der Richter verurteilt den Dieb.|to condemn|to condemn|The judge condemns the thief.
2347|das|das Vorjahr|die Vorjahre|Das Vorjahr brachte gute Ergebnisse.|previous year|previous year|The previous year brought good results.
2348|adj|gezielt||Sie machte einen gezielten Vorschlag.|targeted, purposeful, pointed, well-aimed|targeted|She made a targeted suggestion.
2349|die|die Kommune|die Kommunen|Die Kommune plant neue Wohnprojekte.|municipality, local authority|municipality|The municipality plans new housing projects.
2350|der|der Mord|die Morde|Der Mord wurde schnell aufgeklärt.|murder|murder|The murder was quickly solved.
2351|adj|extern||Die externe Firma hilft uns weiter.|external|external|The external company is helping us.
2352|die|die Partie|die Partien|Die Partie endete unentschieden.|game|game|The game ended in a draw.
2353|adj|stetig||Die stetige Verbesserung fiel auf.|constant|constant|The constant improvement was noticeable.
2354|adj|dumm||Das war wirklich eine sehr dumme Idee.|stupid|stupid|That was really a very stupid idea.
2355|verb|erwidern|erwidern, erwidert, erwiderte, hat erwidert|Er erwidert ihren Gruß höflich.|to reply|to reply|He politely replies to her greeting.
2356|die|die Identität|die Identitäten|Seine Identität bleibt unbekannt.|identity|identity|His identity remains unknown.
2357|der|der Stock|die Stöcke|Das Büro ist im dritten Stockwerk.|stick, floor|floor|The office is on the third floor.
2358|das|das Gefäß|die Gefäße|Das Gefäß war mit Wasser gefüllt.|vessel|vessel|The vessel was filled with water.
2359|verb|atmen|atmen, atmet, atmete, hat geatmet|Der Patient atmet tief ein und aus.|to breathe|to breathe|The patient breathes in and out deeply.
2360|die|die Milch|die Milche|Die Milch steht im Kühlschrank.|milk|milk|The milk is in the refrigerator.
2361|die|die Tiefe|die Tiefen|Die Tiefe des Sees ist unbekannt.|depth|depth|The depth of the lake is unknown.
2362|verb|unternehmen|unternehmen, unternimmt, unternahm, hat unternommen|Sie unternahmen eine Reise nach Asien.|to undertake, do, take action|to undertake|They undertook a trip to Asia.
2363|adj|moralisch||Moralische Fragen wurden besprochen.|moral|moral|Moral questions were discussed.
2364|pron|selbe|selbe, selber, selbes|Er trägt denselben Hut wie gestern.|same|same|He is wearing the same hat as yesterday.
2365|verb|stärken|stärken, stärkt, stärkte, hat gestärkt|Er stärkt sein Immunsystem durch Sport.|to strengthen|to strengthen|He strengthens his immune system through sports.
2366|der|der Millimeter|die Millimeter|Ein Millimeter machte den Unterschied.|millimeter|millimeter|One millimeter made the difference.
2367|die|die FDP (Freie Demokratische Partei)||Die FDP strebt eine Steuerreform an.|FDP|FDP|The FDP is striving for a tax reform.
2368|der|der Konsument|die Konsumenten|Der Konsument hat hohe Erwartungen.|consumer|consumer|The consumer has high expectations.
2369|die|die Reform|die Reformen|Die Reform brachte viele Veränderungen.|reform|reform|The reform brought many changes.
2370|der|der Richter|die Richter|Der Richter spricht das Urteil.|judge|judge|The judge delivers the verdict.
2371|verb|verwandeln|verwandeln, verwandelt, verwandelte, hat verwandelt|Er verwandelte das Zimmer in ein Büro.|to transform, turn into|to transform|He transformed the room into an office.
2372|verb|streiten|streiten, streitet, stritt, hat gestritten|Sie stritten sich um das Geld.|to quarrel, argue|to quarrel|They quarreled over the money.
2373|verb|widmen|widmen, widmet, widmete, hat gewidmet|Sie widmet ihr Leben der Kunst.|to dedicate|to dedicate|She dedicates her life to art.
2374|verb|bereitstellen|bereitstellen, stellt bereit, stellte bereit, hat bereitgestellt|Wir stellen die Mittel bereit.|to provide, put on|to provide|We are providing the resources.
2375|verb|hinterlassen|hinterlassen, hinterlässt, hinterließ, hat hinterlassen|Er hat eine Nachricht hinterlassen.|to leave|to leave|He left a message.
2376|verb|analysieren|analysieren, analysiert, analysierte, hat analysiert|Sie analysiert die Daten sehr genau.|to analyze|to analyze|She analyzes the data very precisely.
2377|der|der Gipfel|die Gipfel|Der Gipfel des Berges war schneebedeckt.|peak, summit|summit|The summit of the mountain was snow-covered.
2378|der|der Nachteil|die Nachteile|Der Nachteil ist offensichtlich.|disadvantage|disadvantage|The disadvantage is obvious.
2379|adv|versus||Es geht um Team A versus Team B.|versus|versus|It's Team A versus Team B.
2380|adj|vertraut||Er ist mit der Technik vertraut.|familiar, close|familiar|He is familiar with the technology.
2381|das|das Baby|die Babys|Das Baby schläft ruhig in seinem Bett.|baby|baby|The baby sleeps calmly in its bed.
2382|die|die Sitzung|die Sitzungen|Die Sitzung dauert zwei Stunden.|meeting, session|meeting|The meeting lasts two hours.
2383|adj|sportlich||Seine sportliche Leistung war top.|athletic|athletic|His athletic performance was top.
2384|die|die Wärme||Die Wärme des Feuers war angenehm.|warmth, heat|warmth|The warmth of the fire was pleasant.
2385|adj|eventuell||Eine eventuelle Lösung wurde diskutiert.|possible|possible|A possible solution was discussed.
2386|die|die Gemeinschaft|die Gemeinschaften|Die Gemeinschaft arbeitete eng zusammen.|community|community|The community worked closely together.
2387|verb|kennenlernen|kennenlernen, lernt kennen, lernte kennen, hat kennengelernt|Er lernte sie auf einer Party kennen.|to meet, get to know|to meet|He met her at a party.
2388|der|der Unternehmer|die Unternehmer|Der Unternehmer investierte klug.|entrepreneur, employer|entrepreneur|The entrepreneur invested wisely.
2389|die|die Dienstleistung|die Dienstleistungen|Diese Dienstleistung wird oft genutzt.|service|service|This service is frequently used.
2390|adj|intern||Die internen Daten wurden ausgewertet.|internal|internal|The internal data was analyzed.
2391|der|der Investor|die Investoren|Der Investor plant ein großes Projekt.|investor|investor|The investor is planning a large project.
2392|die|die Periode|die Perioden|Die Periode dauerte mehrere Jahre.|period|period|The period lasted several years.
2393|adj|schriftlich||Die schriftliche Aussage war eindeutig.|written|written|The written statement was clear.
2394|adj|genetisch||Genetische Merkmale beeinflussen vieles.|genetic|genetic|Genetic traits influence many things.
2395|der|der Einwohner|die Einwohner|Der Einwohner verließ die Stadt.|inhabitant|inhabitant|The inhabitant left the city.
2396|verb|testen|testen, testet, testete, hat getestet|Wir haben das System getestet.|to test|to test|We tested the system.
2397|verb|umgeben|umgeben, gibt um, gab um, hat umgegeben|Das Haus ist von Bäumen umgeben.|to surround, enclose|to surround|The house is surrounded by trees.
2398|adj|lebendig||Die Stadt ist nachts besonders lebendig.|living, lively|lively|The city is especially lively at night.
2399|verb|waschen|waschen, wäscht, wusch, hat gewaschen|Er wäscht das Auto jeden Samstag.|to wash|to wash|He washes the car every Saturday.
2400|das|das Hormon|die Hormone|Hormone beeinflussen das Verhalten.|hormone|hormone|Hormones influence behavior.
2401|das|das Lebensmittel|die Lebensmittel|Lebensmittel sind teuer geworden.|food|food|Food has become expensive.
2402|die|die Zeile|die Zeilen|Schreib eine Zeile in das Buch.|line|line|Write a line in the book.
2403|verb|belasten|belasten, belastet, belastete, hat belastet|Die Sorgen belasten ihn schwer.|to load, burden|to burden|The worries burden him greatly.
2404|adj|braun||Die Blätter sind braun geworden.|brown|brown|The leaves have turned brown.
2405|die|die Ehe|die Ehen|Ihre Ehe dauert schon seit 20 Jahren.|marriage|marriage|Their marriage has lasted for 20 years.
2406|der|der Passagier|die Passagiere|Der Passagier hat seinen Sitz gefunden.|passenger|passenger|The passenger found his seat.
2407|die|die Kindheit||Die Kindheit verbrachte er auf dem Land.|childhood|childhood|He spent his childhood in the countryside.
2408|das|Ungarn||Ungarn ist ein schönes Reiseziel.|Hungary|Hungary|Hungary is a beautiful travel destination.
2409|der|der Verbraucher|die Verbraucher|Der Verbraucher verlangt Qualität.|consumer|consumer|The consumer demands quality.
2410|die|die Vielfalt||Die Vielfalt der Blumen ist erstaunlich.|diversity, variety|variety|The variety of flowers is astonishing.
2411|die|die Entschuldigung|die Entschuldigungen|Er bot eine Entschuldigung an.|apology, excuse|apology|He offered an apology.
2412|verb|flüstern|flüstern, flüstert, flüsterte, hat geflüstert|Sie flüstert ihm ein Geheimnis ins Ohr.|to whisper|to whisper|She whispers a secret into his ear.
2413|adv|geradezu||Das war geradezu unmöglich zu lösen.|downright|downright|That was downright impossible to solve.
2414|die|die Koalition|die Koalitionen|Die Koalition hat sich geeinigt.|coalition|coalition|The coalition has reached an agreement.
2415|die|die Mischung|die Mischungen|Die Mischung schmeckt hervorragend.|mixture, blend, combination|blend|The blend tastes excellent.
2416|adj|zukünftig||Zukünftige Projekte sind geplant.|future|future|Future projects are planned.
2417|verb|erledigen|erledigen, erledigt, erledigte, hat erledigt|Ich werde das sofort erledigen.|to settle, take care|to take care|I will take care of that immediately.
2418|die|die Existenz|die Existenzen|Die Existenz des Tieres ist bewiesen.|existence|existence|The existence of the animal is proven.
2419|der|der Geruch|die Gerüche|Der Geruch von Kaffee weckte ihn.|smell|smell|The smell of coffee woke him up.
2420|verb|herkommen|herkommen, kommt her, kam her, ist hergekommen|Ich weiß nicht genau, wo sie herkommt.|to come here|to come here|I don't know exactly where she comes from.
2421|der|der Sitz|die Sitze|Der Sitz des Unternehmens ist in Berlin.|seat, headquarters|headquarters|The headquarters of the company are in Berlin.
2422|die|die Serie|die Serien|Die Serie gewann viele Preise.|series|series|The series won many awards.
2423|verb|ahnen|ahnen, ahnt, ahnte, hat geahnt|Er ahnte nichts von der Überraschung.|to sense, suspect|suspect|He didn't suspect anything about the surprise.
2424|die|die Entfernung|die Entfernungen|Die Entfernung zum Ziel war groß.|distance|distance|The distance to the goal was great.
2425|verb|stützen|stützen, stützt, stützte, hat gestützt|Das Gebäude stützt sich auf Pfeiler.|to support, base on|to support|The building is supported by pillars.
2426|die|die Wahrnehmung|die Wahrnehmungen|Die Wahrnehmung ist subjektiv.|perception|perception|Perception is subjective.
2427|die|die Liga|die Ligaen|Die Liga plant eine neue Saison.|league|league|The league is planning a new season.
2428|der|der Schlaf||Der Schlaf kommt spät in der Nacht.|sleep|sleep|Sleep comes late at night.
2429|verb|einschränken|einschränken, schränkt ein, schränkte ein, hat eingeschränkt|Er schränkt seine Ausgaben ein.|to restrict, reduce|to restrict|He is restricting his expenses.
2430|die|die Kette|die Ketten|Die Kette riss plötzlich unter der Last.|chain|chain|The chain suddenly snapped under the weight.
2431|die|die Säure|die Säuren|Die Säure reagierte mit dem Metall.|acid|acid|The acid reacted with the metal.
2432|die|die Strafe|die Strafen|Die Strafe folgt auf das Vergehen.|punishment, penalty|penalty|The penalty follows the offense.
2433|der|der Franzose|die Franzosen|Der Franzose spricht gut Deutsch.|Frenchman, French|Frenchman|The Frenchman speaks German well.
2434|das|das Konzert|die Konzerte|Das Konzert endete mit großem Applaus.|concert|concert|The concert ended with great applause.
2435|der|der Kontext|die Kontexte|Der Kontext der Rede war unklar.|context|context|The context of the speech was unclear.
2436|der|der Transport|die Transporte|Der Transport verlief reibungslos.|transportation|transportation|The transportation went smoothly.
2437|verb|abbauen|abbauen, baut ab, baute ab, hat abgebaut|Er baut den alten Schuppen ab.|to reduce, dismantle|to dismantle|He is dismantling the old shed.
2438|verb|anregen|anregen, regt an, regte an, hat angeregt|Das Buch regt zum Nachdenken an.|to encourage, suggest, stimulate|to stimulate|The book stimulates thought.
2439|verb|aufwachsen|aufwachsen, wächst auf, wuchs auf, ist aufgewachsen|Er wuchs in einer kleinen Stadt auf.|to grow up|to grow up|He grew up in a small town.
2440|verb|beherrschen|beherrschen, beherrscht, beherrschte, hat beherrscht|Er beherrscht die Sprache gut.|to control, rule, master|master|He has mastered the language well.
2441|das|Island||Island ist sehr kalt im Winter.|Iceland|Iceland|Iceland is very cold in winter.
2442|das|das Kreuz|die Kreuze|Das rote Kreuz ist ein Symbol der Hilfe.|cross|cross|The red cross is a symbol of help.
2443|der|der Motor|die Motoren|Der Motor des Autos war defekt.|motor, engine|engine|The car's engine was defective.
2444|die|die Sendung|die Sendungen|Die Sendung lief gestern im Fernsehen.|broadcast|broadcast|The broadcast was on TV yesterday.
2445|die|die Aktie|die Aktien|Die Aktie stieg gestern um 5%.|share|share|The share price rose by 5% yesterday.
2446|adv|höchstens||Es dauert höchstens eine Stunde.|at most|at most|It takes at most an hour.
2447|adj|trocken||Das Brot ist leider trocken geworden.|dry|dry|The bread has unfortunately become dry.
2448|die|die Ukraine||Die Ukraine ist ein großes Land.|Ukraine|Ukraine|Ukraine is a large country.
2449|die|die Wechselwirkung|die Wechselwirkungen|Die Wechselwirkung wurde untersucht.|interaction|interaction|The interaction was studied.
2450|die|die Bibliothek|die Bibliotheken|Die Bibliothek hat viele Bücher.|library|library|The library has many books.
2451|adv|ebenda||Das Zitat stammt ebenda aus dem Buch.|ibidem, at the same place|ibidem|The quote comes from the same place in the book.
2452|adv|hoffentlich||Hoffentlich kommt er pünktlich.|hopefully|hopefully|Hopefully, he will arrive on time.
2453|der, die|die Erwachsene||Die Erwachsenen hatten viel Spaß.|adult, grown-up|adult|The adults had a lot of fun.
2454|die|die WM (Weltmeisterschaft)||Die WM beginnt nächsten Monat in Katar.|world championship|world championship|The World Championship starts next month in Qatar.
2455|verb|zurückführen|zurückführen, führt zurück, führte zurück, hat zurückgeführt|Er führt den Erfolg auf das Team zurück.|to attribute, trace back|to attribute|He attributes the success to the team.
2456|das|das Bruttoinlandsprodukt|die Bruttoinlandsprodukte|Das Bruttoinlandsprodukt steigt.|gross domestic product, GDP|GDP|The gross domestic product is rising.
2457|adj|friedlich||Ein friedlicher Protest fand statt.|peaceful|peaceful|A peaceful protest took place.
2458|der|der Verkäufer|die Verkäufer|Der Verkäufer bot einen guten Preis an.|salesman, seller|salesman|The salesman offered a good price.
2459|adj|vernünftig||Das war eine vernünftige Entscheidung.|sensible, reasonable|sensible|That was a sensible decision.
2460|die|die Matrix|die Matrizen|Die Matrix enthält viele Zahlen.|matrix|matrix|The matrix contains many numbers.
2461|verb|abholen|abholen, holt ab, holte ab, hat abgeholt|Sie hat das Paket am Mittag abgeholt.|to get, fetch, pick up|to pick up|She picked up the parcel at noon.
2462|adj|gegenwärtig||Die gegenwärtige Lage ist schwierig.|present, current|current|The current situation is difficult.
2463|der|der Organismus|die Organismusen|Der Organismus reagiert schnell.|organism|organism|The organism reacts quickly.
2464|die|die Ressource|die Ressourcen|Die Ressource wurde nachhaltig genutzt.|resource|resource|The resource was used sustainably.
2465|verb|trauen|trauen, traut, traute, hat getraut|Er traut seinen engsten Freunden.|to trust, dare to|to trust|He trusts his closest friends.
2466|das|das Vorbild|die Vorbilder|Sie ist ein Vorbild für viele.|role model, example|role model|She is a role model for many.
2467|verb|vorlegen|vorlegen, legt vor, legte vor, hat vorgelegt|Er legte seine Ideen dem Team vor.|to present, provide, produce|to present|He presented his ideas to the team.
2468|adj|wahnsinnig||Der Verkehr in der Stadt ist wahnsinnig.|insane|insane|The traffic in the city is insane.
2469|adj|erstaunlich||Ihre erstaunliche Idee wurde umgesetzt.|astonishing|astonishing|Her astonishing idea was implemented.
2470|verb|grinsen|grinsen, grinst, grinste, hat gegrinst|Er grinst schelmisch nach der Frage.|to grin|to grin|He grins mischievously after the question.
2471|der|der Koffer|die Koffer|Der Koffer wurde zurückgelassen.|suitcase|suitcase|The suitcase was left behind.
2472|adj|emotional||Das Gespräch wurde sehr emotional.|emotional|emotional|The conversation became very emotional.
2473|verb|erstellen|erstellen, erstellt, erstellte, hat erstellt|Er erstellt eine Liste mit allen Namen.|to build, draw up, produce|to draw up|He is drawing up a list with all the names.
2474|num|fünfzig||Fünfzig Leute kamen zur Party.|fifty|fifty|Fifty people came to the party.
2475|die|die Kugel|die Kugeln|Die Kugel rollte über den Tisch.|ball, sphere, bullet|ball|The ball rolled across the table.
2476|das|das Rad|die Räder|Das Rad dreht sich immer schneller.|wheel|wheel|The wheel is spinning faster and faster.
2477|verb|ausbauen|ausbauen, baut aus, baute aus, hat ausgebaut|Er baute das Haus zu einem Hotel aus.|to extend, expand, enlarge|to expand|He expanded the house into a hotel.
2478|verb|anzeigen|anzeigen, zeigt an, zeigte an, hat angezeigt|Er zeigte den Diebstahl sofort an.|to report, sue, indicate, show|to report|He immediately reported the theft.
2479|der|der Schwerpunkt|die Schwerpunkte|Der Schwerpunkt liegt auf Bildung.|focus, main emphasis, center of gravity|focus|The focus is on education.
2480|die|die Überzeugung|die Überzeugungen|Seine Überzeugung war unerschütterlich.|conviction|conviction|His conviction was unshakable.
2481|die|die Ableitung|die Ableitungen|Die Ableitung der Formel ist schwierig.|derivation|derivation|The derivation of the formula is difficult.
2482|verb|aussteigen|aussteigen, steigt aus, stieg aus, ist ausgestiegen|Er stieg an der letzten Haltestelle aus.|to get off, get out|to get off|He got off at the last stop.
2483|das|das Chromosom|die Chromosomen|Das Chromosom wurde genau untersucht.|chromosome|chromosome|The chromosome was thoroughly examined.
2484|adj|vergleichbar||Die Ergebnisse sind kaum vergleichbar.|comparable|comparable|The results are hardly comparable.
2485|verb|anhören|anhören, hört an, hörte an, hat angehört|Ich möchte mir seine Meinung anhören.|to listen to|to listen to|I want to listen to his opinion.
2486|die|die Tonne|die Tonnen|Die Tonne ist bis obenhin gefüllt.|ton, barrel, bin|barrel|The barrel is filled to the top.
2487|verb|verleihen|verleihen, verleiht, verlieh, hat verliehen|Die Bibliothek verleiht auch DVDs.|to lend, award|to lend|The library also lends out DVDs.
2488|der|der Arbeiter|die Arbeiter|Der Arbeiter begann frühmorgens.|worker|worker|The worker started early in the morning.
2489|der|das Bord|die Borde|Das Gepäck liegt sicher an Bord.|board|board|The luggage is safely on board.
2490|verb|entspannen|entspannen, entspannt, entspannte, hat entspannt|Er entspannt sich gerne im Park.|to relax|to relax|He likes to relax in the park.
2491|adv|kürzlich||Ich habe ihn kürzlich gesehen.|recently|recently|I saw him recently.
2492|verb|beurteilen|beurteilen, beurteilt, beurteilte, hat beurteilt|Er beurteilt die Lage kritisch.|to assess, judge|to assess|He critically assesses the situation.
2493|verb|raten|raten, rät, riet, hat geraten|Er rät ihm, vorsichtig zu sein.|to advise, guess|to advise|He advises him to be careful.
2494|der|der Schnitt|die Schnitte|Der Schnitt teilt den Apfel in zwei.|cut|cut|The cut divides the apple in two.
2495|adj|wertvoll||Der Ring war klein, aber sehr wertvoll.|valuable|valuable|The ring was small but very valuable.
2496|der|der Erzähler|die Erzähler|Der Erzähler fesselte das Publikum.|storyteller, narrator|narrator|The narrator captivated the audience.
2497|das|das Gold||Das Gold glänzt im Sonnenlicht.|gold|gold|The gold shines in the sunlight.
2498|adj|umstritten||Die Entscheidung war umstritten.|disputed|disputed|The decision was disputed.
2499|verb|aufsteigen|aufsteigen, steigt auf, stieg auf, ist aufgestiegen|Der Ballon steigt in den Himmel auf.|to rise (up), move up|to rise (up)|The balloon rises up in the sky.
2500|adj|biologisch||Sie kaufen nur biologische Lebensmittel.|biological|biological|They only buy biological food.
2501|adj|vielfältig||Die Auswahl im Laden war vielfältig.|diverse, varied|diverse|The selection in the store was diverse.
2502|adj|wirksam||Das Medikament ist sehr wirksam.|effective|effective|The medication is very effective.
2503|verb|überlassen|überlassen, überlässt, überließ, hat überlassen|Er überließ ihr die Entscheidung.|to leave|to leave|He left the decision to her.
2504|verb|identifizieren|identifizieren, identifiziert, identifizierte, hat identifiziert|Er identifizierte die Probleme schnell.|to identify|to identify|He quickly identified the problems.
2505|der|der Mittelwert|die Mittelwerte|Der Mittelwert der Daten ist berechnet.|average, mean|mean|The mean of the data has been calculated.
2506|der|der Stil|die Stile|Der Stil des Hauses gefällt mir.|style|style|I like the style of the house.
2507|die|die Atmosphäre|die Atmosphären|Die Atmosphäre im Raum war angespannt.|atmosphere|atmosphere|The atmosphere in the room was tense.
2508|die|die Beschäftigung|die Beschäftigungen|Er fand schnell eine neue Beschäftigung.|employment, work, job, pursuit|job|He quickly found a new job.
2509|verb|hinzufügen|hinzufügen, fügt hinzu, fügte hinzu, hat hinzugefügt|Er fügte eine Bemerkung hinzu.|to add|to add|He added a remark.
2510|adj|indirekt||Er gab nur indirekte Hinweise.|indirect|indirect|He only gave indirect hints.
2511|der|der Zeitraum|die Zeiträume|Der Zeitraum umfasst einige Monate.|period of time|period of time|The period covers a few months.
2512|verb|aufkommen|aufkommen, kommt auf, kam auf, ist aufgekommen|Plötzlich kam ein heftiger Wind auf.|to come up, arise, pay for|to come up|Suddenly, a strong wind came up.
2513|adv|plus||Morgen erwarten wir 10 Grad plus.|plus|plus|Tomorrow, we expect plus 10 degrees.
2514|conj|plus||Er verdient 50 Euro plus Bonus.|plus|plus|He earns 50 euros plus a bonus.
2515|das|das Plus||Ein Plus des Jobs ist das hohe Gehalt.|plus|plus|A plus of the job is the high salary.
2516|die|die Schwingung|die Schwingungen|Die Schwingung war deutlich spürbar.|vibration|vibration|The vibration was clearly noticeable.
2517|der|der Vektor|die Vektoren|Der Vektor zeigt die Richtung an.|vector|vector|The vector indicates the direction.
2518|der|der Sauerstoff||Der Patient benötigt Sauerstoff.|oxygen|oxygen|The patient needs oxygen.
2519|die|die Äußerung|die Äußerungen|Die Äußerung löst Empörung aus.|comment|comment|The comment causes outrage.
2520|verb|ausziehen|ausziehen, zieht aus, zog aus, ist ausgezogen|Er zog aus dem Haus seiner Eltern aus.|to move out, take off (clothes)|to move out|He moved out of his parents' house.
2521|die|die Gewerkschaft|die Gewerkschaften|Die Gewerkschaft fordert höhere Löhne.|trade union|trade union|The trade union demands higher wages.
2522|der|der Tourismus||Der Tourismus wächst jährlich.|tourism|tourism|Tourism is growing yearly.
2523|adj|flach||Das flache Land erstreckt sich weit.|flat, low, shallow|flat|The flat land stretches far.
2524|verb|transportieren|transportieren, transportiert, transportierte, hat transportiert|Wir transportieren die Ware per Lkw.|to transport|to transport|We transport the goods by truck.
2525|adj|einheimisch||Er bevorzugt einheimische Produkte.|native|native|He prefers native products.
2526|der|der Winkel|die Winkel|Der Winkel des Dachs war zu steil.|angle, corner|angle|The angle of the roof was too steep.
2527|adj|sauer||Der saure Apfel schmeckt mir nicht.|sour, angry|sour|I don't like the taste of the sour apple.
