Der Hund ist groß.|The dog is big.
Der Musiker spielt Klavier.|The musician plays piano.
Der Wecker hat mich geweckt.|The alarm clock woke me up.
Die Preise steigen an.|The prices are rising.
Die Rückkehr war erfreulich.|The return was joyful.
Er wurde für seine Arbeit ausgezeichnet.|He was awarded for his work.
Die Bar ist voll.|The bar is full.
Die Betrachtung war interessant.|The contemplation was interesting.
Die Kommission tagt morgen.|The commission meets tomorrow.
Der Star ist berühmt.|The star is famous.
Er wurde wütend.|He became furious.
Die Werte sind christlich.|The values are Christian.
Der Hamburger Hafen ist groß.|The Hamburg port is large.
Der Hamburger schmeckt gut.|The hamburger tastes good.
Die Leiche wurde gefunden.|The corpse was found.
Das sage ich nochmals.|I say that again.
Er wehrt sich gegen die Vorwürfe.|He defends himself against the accusations.
Der Abbau der Kosten ist notwendig.|The reduction of costs is necessary.
Die Staatsanwaltschaft ermittelt.|The prosecution investigates.
Ich habe viel Freizeit.|I have a lot of spare time.
Das Geschenk ist schön.|The gift is nice.
Sie ist sehr hübsch.|She is very pretty.
Der Moslem betet fünfmal am Tag.|The Muslim prays five times a day.
Die Entscheidung war spontan.|The decision was spontaneous.
Ich gehe dorthin.|I am going there.
Das Frühstück ist fertig.|The breakfast is ready.
Der Junge klettert auf den Baum.|The boy climbs the tree.
Er ist der Mittelpunkt der Party.|He is the center of the party.
Der Unfall hat großen Schaden bereitet.|The accident caused great damage.
Die Entstehung des Lebens ist ein Rätsel.|The origin of life is a mystery.
Er hat konservative Ansichten.|He has conservative views.
Mein Magen tut weh.|My stomach hurts.
Die Belastung war psychisch schwer.|The strain was psychologically heavy.
Das Essen braucht mehr Salz.|The food needs more salt.
Es sind siebzig Leute gekommen.|Seventy people came.
Ich bin gut versichert.|I am well insured.
Der Brite wohnt in London.|The Brit lives in London.
Das Bild ist erkennbar.|The picture is recognizable.
Eine Frau namens Anna rief an.|A woman called Anna called.
Die Achse ist gebrochen.|The axle is broken.
Das Telefon klingelt laut.|The phone rings loudly.
Er speichert die Daten.|He stores the data.
Ich trinke gerne Tee.|I like to drink tea.
Der Zeuge sah den Unfall.|The witness saw the accident.
Der Aufwand war enorm.|The expense was enormous.
Die Kooperation verlief gut.|The cooperation went well.
Der Kritiker lobte den Film.|The critic praised the movie.
Das Tal ist sehr schön.|The valley is very beautiful.
Derartige Fehler sind selten.|Such mistakes are rare.
Die Erste ist die Beste.|The first is the best.
Die Aufgabe ist vielfach.|The task is multiple.
Er empfing die Gäste.|He received the guests.
Die Ernährung ist wichtig.|The diet is important.
Die Küste ist gefährlich.|The coast is dangerous.
Kommst du mit uns?|Are you coming with us?
Die Republik ist groß.|The republic is large.
Er zuckte mit den Schultern.|He shrugged his shoulders.
Ich schließe das Gerät an.|I connect the device.
Sie tauschten die Ideen aus.|They exchanged ideas.
Das Auto beschleunigt schnell.|The car accelerates quickly.
Das entspricht der Norm.|That corresponds to the norm.
Wir stellen neue Mitarbeiter an.|We hire new employees.
Er deckt den Tisch.|He sets the table.
Das Verhalten war grob.|The behavior was rude.
Der Protest war friedlich.|The protest was peaceful.
Die Tour war aufregend.|The tour was exciting.
Der Überblick war nützlich.|The overview was useful.
Der Geschäftsführer ist neu.|The manager is new.
Der Griff ist kaputt.|The handle is broken.
Er küsste sie auf die Wange.|He kissed her on the cheek.
Wir benötigen einen Liter Milch.|We need a liter of milk.
Das Subjekt ist wichtig.|The subject is important.
Der Außenminister reiste ab.|The foreign minister departed.
Die Faser ist stark.|The fiber is strong.
Der Schatz ist verborgen.|The treasure is hidden.
Das ist nur sekundär.|That is only secondary.
Die Zentralbank entscheidet.|The central bank decides.
Der Alte ging spazieren.|The old man went for a walk.
Die Angestellte ist freundlich.|The employee is friendly.
Ich bin dir dankbar.|I am grateful to you.
Das Buch fasziniert mich.|The book fascinates me.
Der Flur ist lang.|The corridor is long.
Das Hemd ist sauber.|The shirt is clean.
Inhaltlich ist der Text gut.|In terms of content, the text is good.
Die Begründung war plausibel.|The explanation was plausible.
Er hat dreimal angerufen.|He called three times.
Ich bin momentan beschäftigt.|I am busy at the moment.
Er zögerte mit der Antwort.|He hesitated with the answer.
Derart ist es geschehen.|So it happened.
Seine Idee ist kreativ.|His idea is creative.
Wir ziehen nächste Woche ein.|We are moving in next week.
Das Ausmaß war groß.|The extent was large.
Er ist mein Feind.|He is my enemy.
Das Holz verbrennt schnell.|The wood burns quickly.
Der Vorstand trifft sich heute.|The board meets today.
Ich verlor den Atem.|I lost my breath.
Die Distanz war kurz.|The distance was short.
Der Händler bietet gute Preise.|The dealer offers good prices.
Er hasst Lügen.|He hates lies.
Das Muster ist einfach.|The pattern is simple.
Der Bericht war ausführlich.|The report was detailed.
Er bedachte alle Möglichkeiten.|He considered all possibilities.
Der Terror verbreitet Angst.|The terror spreads fear.
Die Verfassung garantiert Rechte.|The constitution guarantees rights.
Der Mann ist blind.|The man is blind.
Das Kind ist eingeschlafen.|The child fell asleep.
Die Flüchtlingskrise ist ernst.|The refugee crisis is serious.
Ich habe viel Ärger.|I have a lot of trouble.
Der Fortschritt ist allmählich.|The progress is gradual.
Der Führer gab Anweisungen.|The leader gave instructions.
Vitamine sind wichtig.|Vitamins are important.
Der Abschied fiel schwer.|The farewell was hard.
Der Hafen ist groß.|The harbor is large.
Die Niere ist ein Organ.|The kidney is an organ.
Das Buch bildet die Realität ab.|The book portrays reality.
Der Rezeptor ist empfindlich.|The receptor is sensitive.
Die Firma etabliert sich schnell.|The company establishes itself quickly.
Das Messer ist scharf.|The knife is sharp.
Er war teils begeistert.|He was partly excited.
Brasilien ist ein großes Land.|Brazil is a big country.
Er ergriff die Chance.|He seized the opportunity.
Das Grundgesetz schützt Rechte.|The basic law protects rights.
Ihre Herkunft ist unbekannt.|Her origin is unknown.
Wir gehen hinaus.|We go outside.
Die Katastrophe war schlimm.|The catastrophe was terrible.
Er lehnt an der Wand.|He leans against the wall.
Er berät Kunden.|He advises customers.
Das ist ein bürgerliches Recht.|That is a civil right.
Das Erlebnis war einzigartig.|The experience was unique.
Wir reden nachher.|We will talk afterwards.
Er ging zum Studium über.|He proceeded to study.
Die Wut war groß.|The rage was immense.
Der Lehrer rief die Schüler auf.|The teacher called out the students.
Er stand quer im Raum.|He stood sideways in the room.
Der Kapitän führte das Schiff.|The captain led the ship.
Alles hängt zusammen.|Everything is connected.
Der Ausländer wohnt in Deutschland.|The foreigner lives in Germany.
Die Beschäftigte arbeitet hart.|The employee works hard.
Die Bundesliga ist spannend.|The national league is exciting.
Sie nähert sich dem Haus.|She approaches the house.
Das Essen schmeckt übel.|The food tastes bad.
Das Ufer ist ruhig.|The shore is calm.
Die Dichte des Materials ist hoch.|The density of the material is high.
Er kam an, ehe es zu spät war.|He arrived before it was too late.
Die Strahlung ist gefährlich.|The radiation is dangerous.
Das Virus ist ansteckend.|The virus is contagious.
Europa ist ein Kontinent.|Europe is a continent.
Das Medikament enthält ein Milligramm.|The medication contains a milligram.

Schwedisch ist schwer zu lernen.|Swedish is hard to learn.
Sexuelle Aufklärung ist wichtig.|Sexual education is important.
Komm bitte hierher.|Please come here.
Seine Bemerkung war ironisch.|His remark was ironic.
Der Sprung war weit.|The jump was far.
Das wird vorerst genügen.|That will suffice for the present.
Das Experiment war erfolgreich.|The experiment was successful.
Das Wasser ist kühl.|The water is cool.
Der Maler malt ein Bild.|The painter paints a picture.
Die Opposition protestiert.|The opposition protests.
Der Saal ist voll.|The hall is full.
Die syrische Küche ist lecker.|Syrian cuisine is delicious.
Das ist ein wichtiger Grundsatz.|That is an important principle.
Er lobte den Schüler.|He praised the student.
Die Zustimmung war einstimmig.|The approval was unanimous.
Das war keine Absicht.|That was not intentional.
Ich brauche deine Adresse.|I need your address.
Sein Akzent ist stark.|His accent is strong.
Wir müssen den Vertrag verlängern.|We need to extend the contract.
Gesunde Nahrung ist wichtig.|Healthy food is important.

Niederländisch ist leicht zu lernen.|Dutch is easy to learn.
Die Erde ist ein Planet.|The Earth is a planet.
Stress kann krank machen.|Stress can make you sick.
Das war ein vermeintlicher Fehler.|That was a supposed mistake.
Wir arbeiten zusammen.|We cooperate.
Der Parameter ist wichtig.|The parameter is important.
Der Weg ist steil.|The path is steep.
Ein Europäer reiste nach Asien.|A European traveled to Asia.
Das ist mein heimischer Ort.|That is my native place.
Interkulturelle Kompetenz ist wichtig.|Intercultural competence is important.
Ich liebe die Stille.|I love the silence.
Der Bildschirm ist groß.|The screen is large.
Der Dieb wurde erwischt.|The thief was caught.
Ein Proton ist positiv geladen.|A proton is positively charged.
Ein Schweizer besuchte Berlin.|A Swiss person visited Berlin.
Das alte Haus wirkt unheimlich.|The old house feels eerie.
Das Feld ist magnetisch.|The field is magnetic.
Er versieht seinen Dienst gut.|He performs his duty well.
Die Beteiligung war groß.|The participation was large.
Im Frühjahr blühen die Blumen.|In spring, the flowers bloom.
Der Hut ist elegant.|The hat is elegant.
Er steht auf der Hut.|He is on guard.
Das Medium ist vielseitig.|The medium is versatile.
Die Verpflichtung ist groß.|The commitment is significant.
Die Abteilung arbeitet effizient.|The department works efficiently.
Es gibt eine alternative Lösung.|There is an alternative solution.
Der Mittag ist sonnig.|The noon is sunny.
Er befasst sich mit dem Thema.|He deals with the topic.
Das Finale war spannend.|The finale was exciting.
Der König gewährt Gnade.|The king grants mercy.
Der Zeuge sagte vor Gericht aus.|The witness testified in court.
Die Tendenz zeigt nach oben.|The trend is upwards.
Der Terrorist wurde gefasst.|The terrorist was captured.
Hast du jemals so etwas gesehen?|Have you ever seen such a thing?
Mein Opa erzählte Geschichten.|My grandpa told stories.
Viele sind arbeitslos.|Many are unemployed.
Die Auswertung war hilfreich.|The evaluation was helpful.
Das Gras ist grün.|The grass is green.
Seine Theorie ist logisch.|His theory is logical.
Der Nachfolger tritt bald an.|The successor takes over soon.
Sie verzweifelte an der Aufgabe.|She despaired at the task.
Er bewältigte die Herausforderung.|He coped with the challenge.
Liebe ist eine starke Emotion.|Love is a strong emotion.
Armut ist ein globales Problem.|Poverty is a global problem.
Australien ist weit entfernt.|Australia is far away.
Er klagt über Schmerzen.|He complains about pain.
Schade, dass du nicht kommst.|It's a pity you are not coming.
Die Scheibe ist zerbrochen.|The pane is broken.
Er bleibt bis zum Schluss.|He remains until the end.
Sein Widerspruch war deutlich.|His dissent was clear.
Er stand alleine da.|He stood there alone.
Ich bin nervös vor Prüfungen.|I am nervous before exams.
Der Präsident regiert das Land.|The president governs the country.
Der Regisseur inszeniert den Film.|The director stages the film.
Das Baby ist süß.|The baby is sweet.
Die Villa ist luxuriös.|The villa is luxurious.
Mein Arm tut weh.|My arm hurts.
Der Mitarbeiter wurde entlassen.|The employee was dismissed.
Die Presse berichtet darüber.|The press reports on it.
Womit willst du anfangen?|With what do you want to start?
Wir stimmen über den Plan ab.|We vote on the plan.
Das war ein fairer Handel.|That was a fair deal.
Seine Leistung war hervorragend.|His performance was outstanding.
Die Sammlung ist umfangreich.|The collection is extensive.
Die EZB trifft Entscheidungen.|The ECB makes decisions.
Die Infrastruktur ist wichtig.|The infrastructure is important.
Der Konkurrent ist stark.|The competitor is strong.
Die Party war fantastisch.|The party was fantastic.
Die Wellenlänge ist kurz.|The wavelength is short.
Der Anhänger ist schwer.|The trailer is heavy.
Die betriebliche Leistung steigt.|The operational performance is increasing.
Die Finanzierung ist gesichert.|The financing is secured.
Die Inflation steigt schnell.|Inflation is rising fast.
Er murmelt leise vor sich hin.|He mutters quietly to himself.
Die Plattform ist stabil.|The platform is stable.
Er dominiert das Spiel.|He dominates the game.
Er räumt sein Zimmer ein.|He puts away his room.
Es stellte sich heraus, dass er recht hatte.|It turned out that he was right.
Die Kleidung ist modern.|The clothes are modern.
Sie vereinen ihre Kräfte.|They unite their forces.
Der Bundesrat hat abgestimmt.|The Bundesrat has voted.
Er bricht das Projekt ab.|He stops the project.
Die Aufklärung war notwendig.|The enlightenment was necessary.
Er kommt gut aus.|He gets by well.
Das ist denkbar.|That is conceivable.
Der Fernseher ist kaputt.|The television is broken.
Der Italiener spricht schnell.|The Italian speaks quickly.
Es mangelt an Beweisen.|There is a lack of evidence.
Die Schönheit der Natur ist überwältigend.|The beauty of nature is overwhelming.
Er verarbeitet die Daten.|He processes the data.
Er verkündet die Nachricht.|He announces the news.
Dänemark ist wunderschön.|Denmark is beautiful.
Er steht dazwischen.|He stands in between.
Er steigt in den Zug ein.|He boards the train.
Tibet liegt in Asien.|Tibet is in Asia.
Die Webseite ist informativ.|The website is informative.
Er widerspricht immer.|He always contradicts.
Der Besitzer ist nett.|The owner is nice.
Die japanische Kultur ist faszinierend.|The Japanese culture is fascinating.
Das Essen ist japanisch.|The food is Japanese.
Er ärgert seinen Bruder.|He annoys his brother.
Ihre Persönlichkeit ist einzigartig.|Her personality is unique.
Die Truppe marschiert.|The troops march.
Das ist ausdrücklich verboten.|That is explicitly forbidden.
Die Einschätzung ist korrekt.|The assessment is correct.
Das Design ist funktionell.|The design is functional.
Das Gewebe ist elastisch.|The fabric is elastic.
Das Resultat ist klar.|The result is clear.
Die Verwandte besucht uns.|The relative visits us.
Die Anordnung ist klar.|The order is clear.
Er wacht früh auf.|He wakes up early.
Die Kasse ist leer.|The cash register is empty.
Er hat viele Schulden.|He has many debts.
In Hinblick auf das Wetter bleiben wir zu Hause.|In view of the weather, we are staying at home.
Die Last ist schwer.|The load is heavy.
Er fühlt sich zuhause.|He feels at home.
Das Zuhause ist gemütlich.|The home is cozy.
Die Uniform ist einheitlich.|The uniform is standardized.
Er ist fünfzehn Jahre alt.|He is fifteen years old.
Er überschreitet die Grenze.|He crosses the border.
Die Version ist neu.|The version is new.
Die Zunge ist rosa.|The tongue is pink.
Die dänische Flagge ist rot und weiß.|The Danish flag is red and white.

Die Einladung kam per Post.|The invitation came by mail.
Die Vielzahl der Optionen ist überwältigend.|The multitude of options is overwhelming.
Der Arbeitgeber ist fair.|The employer is fair.
Die Höhle ist dunkel.|The cave is dark.
Die Lücke ist klein.|The gap is small.
Er hat mehrmals angerufen.|He called several times.
Das ist eine subjektive Meinung.|That is a subjective opinion.
Das Wetter ist unangenehm.|The weather is unpleasant.
Das Wirtschaftsforum war informativ.|The economic forum was informative.
Die Angelegenheit ist dringend.|The matter is urgent.
Das ist charakteristisch für ihn.|That is characteristic of him.
Die Einnahme war hoch.|The revenue was high.
Der Islam ist eine Religion.|Islam is a religion.
Das basiert auf Fakten.|That is based on facts.
Er kauft ein.|He goes shopping.
Er trägt die Daten ein.|He enters the data.
Der Vortrag war interessant.|The lecture was interesting.
Das Zelt ist groß.|The tent is big.
Er setzt die Teile zusammen.|He puts the parts together.
Ich habe mich bedankt.|I thanked them.
Die Brille ist neu.|The glasses are new.
Die Sammlung ist wertvoll.|The collection is valuable.
Er verschließt die Tür.|He locks the door.
Der Entwurf ist fertig.|The draft is ready.
Seither hat sich viel geändert.|Since then, much has changed.
Er sagt das Wetter an.|He announces the weather.
Das hemmt das Wachstum.|That inhibits growth.
Seine Intelligenz ist bemerkenswert.|His intelligence is remarkable.
Die Linie ist senkrecht.|The line is vertical.
Er dringt auf eine Antwort.|He insists on an answer.
Der Migrant kommt aus Syrien.|The migrant comes from Syria.
Er probiert das Essen.|He tries the food.
Das Turnier ist spannend.|The tournament is exciting.
Er verschafft uns Zugang.|He provides us access.
Die Volkswirtschaft wächst.|The national economy is growing.
Er bearbeitet den Text.|He edits the text.
Die Struktur ist flexibel.|The structure is flexible.
Hierfür gibt es Beweise.|There is evidence for this.
Das Gerät ist mobil.|The device is mobile.
Der Übersetzer ist erfahren.|The translator is experienced.
Wodurch ist das passiert?|How did that happen?
Er sagt die Teilnahme zu.|He promises to participate.
Der Buchstabe ist groß.|The letter is capital.
Ich verdanke ihm viel.|I owe him a lot.
Sie ist vierzig Jahre alt.|She is forty years old.
Der Vordergrund ist hell.|The foreground is bright.
Der Reiz der Stadt ist einzigartig.|The appeal of the city is unique.
Das ist verständlich erklärt.|That is explained comprehensibly.
Der Wahlkampf war intensiv.|The election campaign was intense.
Das Metall ist flüssig.|The metal is liquid.
Der Sturm war stark.|The storm was strong.
Der Akteur spielt gut.|The actor plays well.
Er entnimmt das Buch aus dem Regal.|He takes the book from the shelf.
Er räumt das Zimmer.|He clears the room.
Das ist konsequent gehandelt.|That is acted consistently.
Er bekämpft das Problem.|He combats the problem.
Das Gehalt ist niedrig.|The salary is low.
Der Gehalt des Buches ist tiefgründig.|The content of the book is profound.
Indes wurde es dunkel.|Meanwhile, it became dark.
Das Motto ist einfach.|The motto is simple.
Die Philosophie ist tiefgründig.|The philosophy is profound.
Der Sender strahlt live.|The broadcasting station is live.
Sie hat Talent zum Singen.|She has a talent for singing.
Er hat es extra gemacht.|He did it separately.
Der Fleck ist groß.|The stain is big.
Die Katze frisst das Futter.|The cat eats the food.
Er reichte die Klage ein.|He filed the complaint.
Anfangs war es schwierig.|Initially, it was difficult.
Die Beratung war hilfreich.|The consultation was helpful.
Die Gestaltung ist kreativ.|The design is creative.
Er ist katholisch.|He is Catholic.
Das ist merkwürdig.|That is strange.
Der Tisch ist bedeckt.|The table is covered.
Die Kuh ist braun.|The cow is brown.
Die Ereignisse sind verknüpft.|The events are linked.
Das Vorgehen war effektiv.|The action was effective.
Das Haus ist drüben.|The house is over there.
Der Polizist erschoss den Täter.|The policeman shot the perpetrator.
Der Nutzer ist zufrieden.|The user is satisfied.
Die Stabilität ist wichtig.|Stability is important.
Er verringert die Kosten.|He reduces the costs.
Der Fall ist juristisch.|The case is legal.
Das war peinlich.|That was embarrassing.
Die Anstrengung hat sich gelohnt.|The effort was worth it.
Der Nationalsozialist sprach laut.|The Nazi spoke loudly.
Er rechtfertigt seine Handlungen.|He justifies his actions.
Das Zitat ist bekannt.|The quotation is well-known.
Die Anpassung war schwierig.|The adaptation was difficult.
Der Computer ist kaputt.|The computer is broken.
Die Menschheit ist vielfältig.|Humanity is diverse.
Die Note ist gut.|The grade is good.
Sie seufzt tief.|She sighs deeply.
Er zeigt Achtung.|He shows respect.
Das Spiel ist ausgeglichen.|The game is balanced.
Der Pilot startet das Flugzeug.|The pilot starts the airplane.
Die Vereinbarung wurde getroffen.|The agreement was made.
Er bricht früh auf.|He leaves early.
Das Labor ist sauber.|The laboratory is clean.
Das setzt Kenntnisse voraus.|That presupposes knowledge.
Die Meinungen sind divers.|The opinions are diverse.
Der Höhepunkt des Abends war das Konzert.|The highlight of the evening was the concert.
Die Wiese ist grün.|The meadow is green.
Die Anerkennung war groß.|The recognition was great.

Die Autobahn ist schnell.|The motorway is fast.
Die Formulierung ist klar.|The formulation is clear.
Die Berücksichtigung war wichtig.|The consideration was important.
Dementsprechend handeln wir.|We act accordingly.
Der Schreck war groß.|The fright was great.
Das Weihnachten ist bald.|Christmas is soon.
Der Anschluss ist gut.|The connection is good.
Er entzieht sich der Verantwortung.|He withdraws from responsibility.
Die Reduktion war erfolgreich.|The reduction was successful.
Das Schwein ist rosa.|The pig is pink.
Der Komplex ist groß.|The complex is large.
Sofern es regnet, bleiben wir.|Provided it rains, we stay.
Er strebt Erfolg an.|He strives for success.
Er beklagt sich oft.|He complains often.
Die Länder einigten sich.|The countries agreed.
Ihre Freundschaft ist stark.|Their friendship is strong.
Die Hütte ist klein.|The hut is small.
Der Mantel ist warm.|The coat is warm.
Die Prognose ist gut.|The prognosis is good.
Das ist zugehörig.|That is corresponding.
Die Methode ist analytisch.|The method is analytic.
Das Anliegen wurde gehört.|The request was heard.
Er ist locker.|He is relaxed.
Die sonstigen Kosten sind hoch.|The other costs are high.
Wir warten ab.|We wait.
Der Kaffee ist bitter.|The coffee is bitter.
Das ist permanent.|That is permanent.
Das Abkommen wurde unterzeichnet.|The agreement was signed.
Die Abstimmung war knapp.|The vote was close.
Der Geschmack ist süß.|The taste is sweet.
Der König folgte nach.|The king followed.

Er neigt den Kopf.|He tilts his head.
Die Rente ist sicher.|The pension is secure.
Das Taxi wartet.|The taxi is waiting.
Er war vorhin hier.|He was here a short time ago.
Die Zusammenfassung ist klar.|The summary is clear.
Die Disziplin ist streng.|The discipline is strict.
Der Aufstieg war schwer.|The climb was hard.
Keinerlei Zweifel sind erlaubt.|No doubts are allowed at all.
Der Mond scheint hell.|The moon shines bright.
Er ist sehr professionell.|He is very professional.
Das Semester beginnt bald.|The semester starts soon.
Der Gastgeber ist freundlich.|The host is friendly.
Er geht hinein ins Haus.|He goes into the house.
Das ist eine kinetische Energie.|That is kinetic energy.
Das Skript ist interessant.|The script is interesting.
Er vertreibt viele Produkte.|He sells many products.
Das Museum ist zugänglich.|The museum is accessible.
Ich bin zurzeit beschäftigt.|I am busy at the moment.
Er ist gestern verstorben.|He passed away yesterday.
Er hält seine Gefühle zurück.|He holds back his feelings.
Die Abweichung ist klein.|The deviation is small.
Er setzt die Brille auf.|He puts on the glasses.
Dieses Buch ist langweilig.|This book is boring.
Er geht seinen Träumen nach.|He pursues his dreams.
Das Bild hängt schief.|The picture hangs crooked.
Sie küsste ihn auf die Wange.|She kissed him on the cheek.
Der Champion ist ungeschlagen.|The champion is undefeated.
Der Horizont ist weit.|The horizon is vast.
Die Intensität ist hoch.|The intensity is high.
Der Lehrer korrigiert die Tests.|The teacher corrects the tests.
Die Linke hat gewonnen.|The Left Party has won.
Neunzig Minuten sind vorbei.|Ninety minutes are over.
Der Sänger hat Talent.|The singer has talent.
Das Symptom ist neu.|The symptom is new.
Wir sind uns einig.|We are agreed.
Ihre Auffassung ist anders.|Her point of view is different.
Er läuft herum im Park.|He walks around in the park.
Das Kunstwerk ist schön.|The work of art is beautiful.
Das Ministerium ist wichtig.|The ministry is important.
Der Österreicher spricht Deutsch.|The Austrian speaks German.
Er handelt stellvertretend.|He acts on behalf.
Der Ursprung ist unbekannt.|The origin is unknown.
Das Examen war mündlich.|The exam was oral.
Sie ist sehr neugierig.|She is very curious.
Er jagt im Wald.|He hunts in the forest.
Das ist seine Schwäche.|That is his weakness.
Das Unternehmen hat ein Minus.|The company has a deficit.
Das Eisen ist schwer.|Iron is heavy.
Iran ist ein Land.|Iran is a country.
Die Besonderheit ist klar.|The feature is clear.
Das Essen enthält viel Fett.|The food contains a lot of fat.
Er lenkt das Auto.|He steers the car.
Er kommt oft vorbei.|He often passes by.
Diese Idee ist cool.|This idea is cool.
Der Kleber klebt gut.|The glue sticks well.
Es gibt Unsicherheit.|There is uncertainty.
Das Buch beinhaltet viele Themen.|The book contains many topics.
Irak ist weit weg.|Iraq is far away.
Das ist virtuell.|That is virtual.
Sein Vorname ist Hans.|His first name is Hans.
Die Zeitschrift ist neu.|The magazine is new.
Er setzt die Tasche ab.|He drops off the bag.
Der General führt die Truppe an.|The general leads the troop.
Er bestreitet die Vorwürfe.|He disputes the accusations.
Die These ist interessant.|The thesis is interesting.
Er begeht einen Fehler.|He makes a mistake.
Der Besitz ist groß.|The property is large.
Etliche Leute kamen.|Quite a few people came.
Der Gläubiger ist geduldig.|The creditor is patient.
Er hilft mitunter.|He helps from time to time.
Das Kind rutscht.|The child slides.
Die Möglichkeiten sind unzählig.|The possibilities are countless.
Das ist sein Zeug.|That is his stuff.
Die Anfrage ist angekommen.|The request has arrived.
Das Projekt wirkt sich aus.|The project has an effect.
Die Methode ist effizient.|The method is efficient.
Er erarbeitet einen Plan.|He works out a plan.
Die Platte ist rund.|The disk is round.
Siehe die Notizen.|See the notes.
Sie ist verheiratet.|She is married.
Der Job ist vorübergehend.|The job is temporary.
Der Sommer geht vorüber.|The summer passes by.
Er guckt den Film an.|He watches the movie.
Das ist diskret.|That is discreet.
Er war erstaunt.|He was astonished.
Das Gymnasium ist groß.|The secondary school is large.
Der Ingenieur isoliert die Wand.|The engineer insulates the wall.
Der Mörder ist gefasst.|The murderer is caught.
Er ist erwachsen.|He is grown-up.
Das Produkt ist ökologisch.|The product is organic.
Das Problem ist problematisch.|The problem is problematic.
Die Substitution ist nötig.|The substitution is necessary.
Der Tipp ist hilfreich.|The tip is helpful.
Er fordert mehr Geld.|He asks for more money.
Der Hügel ist hoch.|The hill is high.
Der Kanton ist klein.|The canton is small.
Sachsen liegt in Deutschland.|Saxony is in Germany.
Sie ist schwanger.|She is pregnant.
Der Status ist aktiv.|The status is active.
Das Stichwort ist wichtig.|The keyword is important.
Das Auto hat ein hohes Tempo.|The car has a high speed.
Das Kleid ist wunderschön.|The dress is beautiful.
Sie grüßt den Nachbarn.|She greets the neighbor.
Der Weltmeister ist glücklich.|The world champion is happy.
Der Duft ist angenehm.|The fragrance is pleasant.
Er ist schon hinweg.|He is already over.
Der Lehrer zeigt den Fehler auf.|The teacher points out the mistake.
Das Haus ist gut ausgestattet.|The house is well furnished.
Meine Großmutter backt Kuchen.|My grandmother bakes cakes.
Seine Leidenschaft ist Musik.|His passion is music.
Der Parkplatz ist voll.|The parking place is full.
Er formt die Figuren.|He forms the figures.
Ha, das ist lustig!|Ha, that is funny!
Die Universitätsbibliothek ist groß.|The university library is large.
Die Zusammensetzung ist komplex.|The composition is complex.
Die Ausführung ist wichtig.|The implementation is important.
Das ist ein geheimes Dokument.|That is a secret document.
Sei rechtzeitig da!|Be there in time!
Alle waren anwesend.|Everyone was present.
Der Löwe brüllt laut.|The lion roars loudly.
Der Boden ist nass.|The ground is wet.
Der Raum ist zehn Quadratmeter groß.|The room is ten square meters.
Der Turm ist hoch.|The tower is high.
Ihre Beschwerde wurde gehört.|Her complaint was heard.
Er hat ein schlechtes Gewissen.|He has a guilty conscience.
Der Schüler ist intelligent.|The student is intelligent.
Jemand hat mein Fahrrad gestohlen.|Someone stole my bike.
Die Mutter betreut das Kind.|The mother takes care of the child.
Die Rahmenbedingungen sind hart.|The prevailing conditions are tough.
Der Suizid ist tragisch.|The suicide is tragic.
Die benachbarten Häuser sind schön.|The neighboring houses are beautiful.
Das ist explizit erwähnt.|That is explicitly mentioned.
Kommen Sie gegebenenfalls zurück.|Come back if necessary.
Das hintere Rad ist kaputt.|The rear wheel is broken.
Er schwingt das Seil.|He swings the rope.
Er erlitt viel Schmerz.|He suffered a lot of pain.
Der Export steigt.|The export is rising.
Er kehrt den Boden.|He sweeps the floor.
Sie hat viel Phantasie.|She has a lot of imagination.
Das Verbrechen ist schwer.|The crime is severe.
Die Aktivierung ist abgeschlossen.|The activation is complete.
Er sucht das beste aus.|He chooses the best.
Die Dunkelheit bricht herein.|The darkness falls.
Er haut auf den Tisch.|He slaps the table.
Das Stadion ist riesig.|The stadium is huge.
Die Übertragung läuft.|The broadcast is running.
Wasserstoff ist ein Gas.|Hydrogen is a gas.
Der Anblick ist erstaunlich.|The sight is amazing.
Er scheidet früh aus.|He retires early.
Der Durchschnitt ist hoch.|The average is high.
Das Klima ändert sich.|The climate is changing.
Die Stadt vergrößert sich.|The city is expanding.
Die Grafik ist bunt.|The graphic is colorful.
Der Großteil ist erledigt.|The large part is done.
Die Motivation ist wichtig.|The motivation is important.
Die Software ist neu.|The software is new.
Die Leute versammeln sich.|The people gather.
Ich bin wach.|I am awake.
Der Hass ist stark.|The hatred is strong.
Er streckt die Arme.|He stretches his arms.
Sie telefoniert oft.|She makes phone calls often.
Er erträgt den Schmerz.|He bears the pain.
Die Ferne ist mystisch.|The distance is mystical.
Das Gelände ist weit.|The ground is wide.
Das Grundstück ist groß.|The plot of land is large.
Wofür ist das?|For what is that?
Kommen Sie jederzeit.|Come anytime.
Das System ist neutral.|The system is neutral.
Das Produkt ist qualitativ hochwertig.|The product is of high quality.
Der Boden ist feucht.|The ground is damp.
Mein Großvater erzählt Geschichten.|My grandfather tells stories.
Die Lunge ist gesund.|The lung is healthy.
Mithilfe des Teams schafften wir es.|With the aid of the team, we made it.
Der Prozess wandelt sich um.|The process is converted.
Baden-Württemberg liegt im Süden.|Baden-Württemberg is in the south.
Das Mittelalter war spannend.|The Middle Ages were exciting.
