word_combination_de                    |word_combination_en                    |word_de                                                                          |speech_part                     |word_en                                                      |sentence_de                                                                                                            |sentence_en                                                                                                       |frequency_rank
eine Berechnung machen                 |to do a calculation                    |die Berechnung, -en                                                              |die                             |calculation                                                  |Nach den neuen Berechnungen der Manager kann sich die Firma einen zweiten Standort leisten.                            |According to the new calculations of the managers, the company can afford a second location.                      |          1754
gegenseitig helfen                     |to help each other                     |gegenseitig                                                                      |adj                             |mutual, each other                                           |Ole und Janosch werfen sich gegenseitig einen Ball zu.                                                                 |Ole and Janosch throw each other a ball.                                                                          |          1755
eine kurzfristige Entscheidung         |a decision at short notice             |kurzfristig                                                                      |adj                             |at short notice                                              |Leider muss meine Familie den Urlaub kurzfristig verschieben.                                                          |Unfortunately, my family has to postpone their vacation at short notice.                                          |          1756
eine Stufe nehmen                      |to take a step                         |die Stufe, -n                                                                    |die                             |step, level                                                  |Eine Treppe besteht aus mehreren Stufen.                                                                               |A staircase consists of multiple steps.                                                                           |          1757
das Urteil des Richters                |the judge's sentence                   |das Urteil, -e                                                                   |das                             |sentence, judgment                                           |Der Richter verkündet das Urteil am Ende des Prozesses.                                                                |The judge pronounces the sentence at the end of the trial.                                                        |          1758
primäre Farben                         |primary colors                         |primär                                                                           |adj                             |primary                                                      |Sein primäres Ziel war es, den Armen zu helfen.                                                                        |His primary goal was to help the poor.                                                                            |          1759
viel Schnee                            |a lot of snow                          |der Schnee                                                                       |der                             |snow                                                         |Zu Weihnachten lag leider kein Schnee.                                                                                 |Unfortunately, there was no snow for Christmas.                                                                   |          1760
vollkommen glücklich                   |completely happy                       |vollkommen                                                                       |adj                             |complete, perfect                                            |Ein vollkommener Tag beginnt mit einem guten Kaffee.                                                                   |A perfect day starts with a good coffee.                                                                          |          1761
England besuchen                       |to visit England                       |England                                                                          |das                             |England                                                      |England ist ein Land, das Teil des Vereinigten Königreichs ist.                                                        |England is a country that is part of the United Kingdom.                                                          |          1762
massive Probleme                       |massive problems                       |massiv                                                                           |adj                             |solid, massive, severe                                       |Nach massiver Kritik zog er seine Aussage zurück.                                                                      |After massive criticism, he withdrew his statement.                                                               |          1763
sämtliche Dokumente                    |all documents                          |sämtlich                                                                         |adj                             |all                                                          |In dem Verlag erscheinen sämtliche Werke von Hermann Hesse.                                                            |The publishing house publishes all works by Hermann Hesse.                                                        |          1764
einen Text übersetzen                  |to translate a text                    |übersetzen, übersetzt, übersetzte, hat übersetzt                                 |verb                            |to translate                                                 |Sie hat mehrere spanische Romane ins Deutsche übersetzt.                                                               |She has translated several Spanish novels into German.                                                            |          1765
dringend benötigt                      |urgently needed                        |dringend                                                                         |adj                             |urgent                                                       |Der Patient benötigt dringend Ruhe.                                                                                    |The patient urgently needs rest.                                                                                  |          1766
einen Unfall verursachen               |to cause an accident                   |verursachen, verursacht, verursachte, hat verursacht                             |verb                            |to cause                                                     |Zu viele süße Lebensmittel verursachen Probleme mit der Haut.                                                          |Too many sweet foods cause problems with the skin.                                                                |          1767
starke Konkurrenz                      |strong competition                     |die Konkurrenz, -en                                                              |die                             |competition                                                  |Die Firma ist ihrer Konkurrenz einen Schritt voraus.                                                                   |The company is one step ahead of the competition.                                                                 |          1768
einen Muskel trainieren                |to train a muscle                      |der Muskel, -n                                                                   |der                             |muscle                                                       |Weil Niklas jeden Tag trainiert, hat er starke Muskeln.                                                                |Because Niklas trains every day, he has strong muscles.                                                           |          1769
einen Test bestehen                    |to pass a test                         |der Test, -s                                                                     |der                             |test                                                         |Ich habe heute zwei Tests geschrieben und beide bestanden.                                                             |I took two tests today and passed them both.                                                                      |          1770
im Süden                               |in the south                           |Süden, Süd-                                                                      |der                             |south                                                        |Robert wohnt im Norden von England, kommt aber ursprünglich aus dem Süden.                                             |Robert lives in the north of England, but originally comes from the south.                                        |          1771
super gemacht                          |well done                              |super                                                                            |adj                             |super, great                                                 |Die Party war super und ich habe mich gut unterhalten.                                                                 |The party was great, and I had a good time.                                                                       |          1772
ökonomische Probleme                   |economic problems                      |ökonomisch                                                                       |adj                             |economic                                                     |Die ökonomische Situation des Landes hat sich verbessert.                                                              |The economic situation in the country has improved.                                                               |          1773
eine Erzählung hören                   |to listen to a story                   |die Erzählung, -en                                                               |die                             |narration, story                                             |Hermann Hesse hat viele Erzählungen geschrieben.                                                                       |Hermann Hesse has written many stories.                                                                           |          1774
eine Initiative ergreifen              |to take an initiative                  |die Initiative, -n                                                               |die                             |initiative                                                   |Die Initiative kämpft für soziale Gerechtigkeit.                                                                       |The initiative fights for social justice.                                                                         |          1775
mit dem Flugzeug                       |by airplane                            |das Flugzeug, -e                                                                 |das                             |airplane                                                     |Mit dem Flugzeug kann man leicht von Kontinent zu Kontinent reisen.                                                    |You can easily travel from continent to continent by airplane.                                                    |          1776
DNA analysieren                        |to analyze DNA                         |DNA (DNS, Desoxyribonukleinsäure)                                                |die                             |DNA, deoxyribonucleic acid                                   |Wissenschaftler erforschen die Zusammensetzung der menschlichen DNA.                                                   |Scientists study the composition of human DNA.                                                                    |          1777
eine Flüssigkeit trinken               |to drink a liquid                      |die Flüssigkeit, -en                                                             |die                             |liquid                                                       |Die Flasche enthält eine klare Flüssigkeit.                                                                            |The bottle contains a clear liquid.                                                                               |          1778
einen Geburtstag feiern                |to celebrate a birthday                |der Geburtstag, -e                                                               |der                             |birthday                                                     |Nina macht zu ihrem Geburtstag ein Fest.                                                                               |Nina’s having a party on her birthday.                                                                            |          1779
ein Kleid tragen                       |to wear a dress                        |das Kleid, -er                                                                   |das                             |dress                                                        |Linda sieht sehr gut aus in ihrem neuen Kleid.                                                                         |Linda looks very good in her new dress.                                                                           |          1780
zeitlich begrenzt                      |limited in time                        |zeitlich                                                                         |adj                             |in time                                                      |Glaubst du, dass du es zeitlich schaffen wirst?                                                                        |Do you think you’ll make it in time?                                                                              |          1781
einen Ball werfen                      |to throw a ball                        |der Ball, -̈e                                                                     |der                             |ball                                                         |Der Ball ist rund.                                                                                                     |The ball is round.                                                                                                |          1782
eine Brust abtasten                    |to examine a breast                    |die Brust, -̈e                                                                    |die                             |breast, chest                                                |Die Mutter drückt das Baby an ihre Brust.                                                                              |The mother presses the baby to her breast.                                                                        |          1783
elektronische Geräte                   |electronic devices                     |elektronisch                                                                     |adj                             |electronic                                                   |Im Internet gibt es gute elektronische Übersetzer.                                                                     |There are good electronic translators on the internet.                                                            |          1784
sich verabschieden                     |to say goodbye                         |verabschieden, verabschiedet, verabschiedete, hat verabschiedet                  |verb                            |to say goodbye, pass                                         |Stephan und Irina verabschieden sich am Bahnhof.                                                                       |Stephan and Irina say goodbye at the station.                                                                     |          1785
den Wunsch ausdrücken                  |to express the wish                    |ausdrücken, drückt aus, drückte aus, hat ausgedrückt                             |verb                            |to express                                                   |Der Maler drückt seine Gefühle durch die dunklen Farben aus.                                                           |The painter expresses his feelings through the dark colors.                                                       |          1786
das kleine Detail                      |the small detail                       |das Detail, -s                                                                   |das                             |detail                                                       |Wir haben eine Meldung von einem schweren Unfall auf der A7, bisher aber keine genauen Details.                        |We have a report of a serious accident on Route A7, but so far no exact details.                                  |          1787
demokratische Werte                    |democratic values                      |demokratisch                                                                     |adj                             |democratic                                                   |Man muss die Ergebnisse einer demokratischen Wahl akzeptieren.                                                         |You have to accept the results of a democratic election.                                                          |          1788
die Variable berechnen                 |to calculate the variable              |die Variable, -n                                                                 |die                             |variable                                                     |Die Variablen in der Gleichung sind X, Y und Z.                                                                        |The variables in the equation are X, Y, and Z.                                                                    |          1789
das Fleisch essen                      |to eat the meat                        |das Fleisch                                                                      |das                             |meat, flesh                                                  |Ich esse nur Fleisch von Kühen, aber nicht von anderen Tieren.                                                         |I only eat meat from cows, but not from other animals.                                                            |          1790
die körperliche Arbeit                 |the physical work                      |körperlich                                                                       |adj                             |physical                                                     |Körperliche Aktivität ist genauso wichtig wie gesundes Essen.                                                          |Physical activity is as important as healthy food.                                                                |          1791
die Liste erstellen                    |to create the list                     |die Liste, -n                                                                    |die                             |list                                                         |Ich schreibe eine Liste mit Orten, die ich besichtigen möchte, während ich in Paris bin.                               |I’m writing a list of places I would like to visit while I’m in Paris.                                            |          1792
von Reisen träumen                     |to dream of traveling                  |träumen, träumt, träumte, hat geträumt                                           |verb                            |to dream                                                     |Viele Leute träumen davon, reich und mächtig zu werden.                                                                |Many people dream of becoming rich and powerful.                                                                  |          1793
das Volumen messen                     |to measure the volume                  |das Volumen, -                                                                   |das                             |volume, total amount                                         |Was glaubst du, welche dieser Flaschen hat das größere Volumen?                                                        |Which of these bottles do you think has the larger volume?                                                        |          1794
den Fehler zugeben                     |to admit the mistake                   |zugeben, gibt zu, gab zu, hat zugegeben                                          |verb                            |to admit                                                     |Ich gebe zu, dass es mein Fehler war.                                                                                  |I admit it was my mistake.                                                                                        |          1795
ah, verstehe                           |ah, I understand                       |ah                                                                               |part                            |ah                                                           |Ah, Alissa, wie schön dich zu sehen!                                                                                   |Ah, Alissa, how nice to see you!                                                                                  |          1796
ein Drittel teilen                     |to divide a third                      |das Drittel, -                                                                   |das                             |third                                                        |Ein Drittel ist einer von drei gleichen Teilen eines Ganzen.                                                           |A third is one of three equal parts of a whole.                                                                   |          1797
den Vorschlag akzeptieren              |to accept the proposal                 |akzeptieren, akzeptiert, akzeptierte, hat akzeptiert                             |verb                            |to accept                                                    |Du musst meine Entscheidung akzeptieren.                                                                               |You have to accept my decision.                                                                                   |          1798
die endgültige Entscheidung            |the final decision                     |endgültig                                                                        |adj                             |final                                                        |Wir warten noch auf die endgültigen Ergebnisse.                                                                        |We are still waiting for the final results.                                                                       |          1799
die ewige Liebe                        |the eternal love                       |ewig                                                                             |adj                             |eternal                                                      |Jeremy schwört seiner Frau ewige Liebe.                                                                                |Jeremy swears eternal love to his wife.                                                                           |          1800
eine neue Perspektive                  |a new perspective                      |die Perspektive, -n                                                              |die                             |perspective, prospects                                       |Das Projekt hat keine Perspektive mehr, da es nicht mehr finanziell unterstützt wird.                                  |The project has no prospects anymore, as it is no longer financially supported.                                   |          1801
im Restaurant essen                    |to eat in the restaurant               |das Restaurant, -s                                                               |das                             |restaurant                                                   |Wir gehen zum Abendessen in ein Restaurant.                                                                            |We’re going to a restaurant for dinner.                                                                           |          1802
in den Bergen wandern                  |to hike in the mountains               |wandern, wandert, wanderte, ist gewandert                                        |verb                            |to (go on a) walk or hike, migrate                           |Lucy wandert gern auf dem Land oder in den Bergen.                                                                     |Lucy likes to hike in the country or in the mountains.                                                            |          1803
die Tasche tragen                      |to carry the bag                       |die Tasche, -n                                                                   |die                             |pocket, bag                                                  |Ich verreise am liebsten mit nur einer Tasche.                                                                         |I prefer to travel with only one bag.                                                                             |          1804
einen Plan vornehmen                   |to plan something                      |vornehmen (sich), nimmt vor, nahm vor, hat vorgenommen                           |verb                            |to plan                                                      |Iris nimmt sich vor, in der nächsten Prüfung besser zu sein.                                                           |Iris plans on being better in the next test.                                                                      |          1805
der Beamte spricht                     |the official speaks                    |die Beamte                                                                       |der, die                        |official, civil servant                                      |Lehrer und Polizisten sind Beamte.                                                                                     |Teachers and police officers are civil servants.                                                                  |          1806
eine Reise orientieren                 |to orient a trip                       |orientieren, orientiert, orientierte, hat orientiert                             |verb                            |to orient                                                    |Beim Wandern orientieren sie sich mithilfe einer Karte.                                                                |When hiking, they orient themselves with the help of a map.                                                       |          1807
der schmale Weg                        |the narrow path                        |schmal                                                                           |adj                             |narrow, slender                                              |Wir folgen einem schmalen Weg durch den Wald.                                                                          |We are following a narrow track through the forest.                                                               |          1808
einen Streit beginnen                  |to start a fight                       |der Streit, -e                                                                   |der                             |argument, fight                                              |Ich bekomme mit den Nachbarn Streit wegen meines Hundes.                                                               |I’m getting into a fight with the neighbors about my dog.                                                         |          1809
das spannende Buch                     |the exciting book                      |spannend                                                                         |adj                             |exciting, thrilling                                          |Die Handlung des Romans ist voller spannender Situationen.                                                             |The plot of the novel is full of exciting situations.                                                             |          1810
wohin gehst du                         |where are you going                    |wohin                                                                            |pron                            |where                                                        |Wohin gehen wir heute Abend?                                                                                           |Where are we going tonight?                                                                                       |          1811
auf dem Dach                           |on the roof                            |das Dach, -̈er                                                                    |das                             |roof                                                         |Wir bauen ein neues Dach für unser Haus.                                                                               |We’re building a new roof for our house.                                                                          |          1812
die Karriere beginnen                  |to start the career                    |die Karriere, -n                                                                 |die                             |career                                                       |Martha möchte sich auf ihre Karriere konzentrieren.                                                                    |Martha wants to focus on her career.                                                                              |          1813
die Temperatur regeln                  |to regulate the temperature            |regeln, regelt, regelte, hat geregelt                                            |verb                            |to control, regulate, direct                                 |Ein Polizist regelt den Verkehr an der Kreuzung.                                                                       |A police officer directs the traffic at the intersection.                                                         |          1814
insofern richtig                       |insofar correct                        |insofern                                                                         |adv                             |as far as that goes, insofar, therefore                      |Mit dem zweiten Platz habe ich nicht gerechnet, insofern bin ich mehr als zufrieden.                                   |I didn’t expect to finish second, and therefore I am more than satisfied.                                         |          1815
die Zigarette rauchen                  |to smoke the cigarette                 |die Zigarette, -n                                                                |die                             |cigarette                                                    |Sie zündet sich eine Zigarette an.                                                                                     |She lights a cigarette for herself.                                                                               |          1816
bunte Farben                           |colorful colors                        |bunt                                                                             |adj                             |colorful                                                     |Es gibt viele bunte Gemälde in der Ausstellung.                                                                        |There are many colorful paintings at the exhibition.                                                              |          1817
die Falle stellen                      |to set the trap                        |die Falle, -n                                                                    |die                             |trap                                                         |Die Männer legen im Wald Fallen, um Tiere zu fangen.                                                                   |The men set traps in the forest to catch animals.                                                                 |          1818
die Nachricht verbreiten               |to spread the message                  |verbreiten, verbreitet, verbreitete, hat verbreitet                              |verb                            |to spread                                                    |Die Polizei verbreitet die Meldung über die Medien.                                                                    |The police spread the news through the media.                                                                     |          1819
die Auswirkungen untersuchen           |to study the effects                   |die Auswirkung, -en                                                              |die                             |effect                                                       |Die Katastrophe wird noch jahrelange Auswirkungen auf die Umwelt haben.                                                |The disaster will have an effect on the environment for years to come.                                            |          1820
einander helfen                        |to help each other                     |einander                                                                         |adv                             |each other                                                   |Partner müssen einander vertrauen.                                                                                     |Partners must trust each other.                                                                                   |          1821
weshalb nicht                          |why not                                |weshalb                                                                          |pron                            |why                                                          |Weshalb sollte ich ihm helfen, er hilft mir nie.                                                                       |Why should I help him, he never helps me.                                                                         |          1822
der Unterricht beginnt                 |the class starts                       |der Unterricht, -e                                                               |der                             |instruction, classes                                         |Der Unterricht endet am späten Nachmittag.                                                                             |Classes end in the late afternoon.                                                                                |          1823
das Bedürfnis haben                    |to have the need                       |das Bedürfnis, -se                                                               |das                             |need                                                         |Wir tun alles, um die Bedürfnisse unserer Kunden zu befriedigen.                                                       |We do everything to satisfy our customers’ needs.                                                                 |          1824
das hohe Niveau                        |the high level                         |das Niveau, -s                                                                   |das                             |level, standard                                              |Kunden möchten Qualität auf höchstem Niveau.                                                                           |Customers want quality of the highest level.                                                                      |          1825
die Tante besuchen                     |to visit the aunt                      |die Tante, -n                                                                    |die                             |aunt                                                         |Die Schwester meiner Mutter ist meine Tante.                                                                           |My mother’s sister is my aunt.                                                                                    |          1826
die Prüfung bestehen                   |to pass the exam                       |die Prüfung, -en                                                                 |die                             |examination, test, exam                                      |Am Ende des Wintersemesters schreiben die Studenten ihre Prüfungen.                                                    |At the end of the winter semester, students write their exams.                                                    |          1827
das Geschenk mitbringen                |to bring the gift                      |mitbringen, bringt mit, brachte mit, hat mitgebracht                             |verb                            |to bring                                                     |Christine bringt ihre Kamera mit, um Fotos zu machen.                                                                  |Christine brings her camera to take pictures.                                                                     |          1828
etwas seltsam finden                   |to find something strange              |seltsam                                                                          |adj                             |strange, peculiar                                            |Ich höre ein seltsames Geräusch aus dem Raum nebenan.                                                                  |I hear a strange sound from the room next door.                                                                   |          1829
das Gen entdecken                      |to discover the gene                   |das Gen, -e                                                                      |das                             |gene                                                         |Es wird angenommen, dass Krebs durch veränderte Gene verursacht wird.                                                  |It is assumed that cancer is caused by altered genes.                                                             |          1830
ein Team engagieren                    |to engage a team                       |engagieren, engagiert, engagierte, hat engagiert                                 |verb                            |to hire, employ, commit, engage                              |Er engagiert jemanden, der auf der Party Fotos macht.                                                                  |He’s hiring someone to take pictures at the party.                                                                |          1831
den Onkel besuchen                     |to visit the uncle                     |der Onkel, -                                                                     |der                             |uncle                                                        |Wir besuchen meine Tante und meinen Onkel am Sonntag.                                                                  |We’re visiting my aunt and uncle on Sunday.                                                                       |          1832
soweit ich weiß                        |as far as I know                       |soweit                                                                           |adv                             |as far as                                                    |Soweit ich weiß, findet das Seminar heute nicht statt.                                                                 |As far as I know, the seminar isn’t taking place today.                                                           |          1833
mächtige Menschen                      |powerful people                        |mächtig                                                                          |adj                             |powerful                                                     |Der Präsident ist in einer mächtigen Position.                                                                         |The president is in a powerful position.                                                                          |          1834
ausgerechnet jetzt                     |of all times now                       |ausgerechnet                                                                     |adv                             |of all people, of all times                                  |Warum muss ich ausgerechnet heute krank werden?                                                                        |Why do I have to get ill today of all days?                                                                       |          1835
zweimal täglich                        |twice a day                            |zweimal                                                                          |adv                             |twice                                                        |Sie klingelte zweimal, aber es war niemand zu Hause.                                                                   |She rang the doorbell twice, but nobody was home.                                                                 |          1836
die Störung beheben                    |to fix the disturbance                 |die Störung, -en                                                                 |die                             |disturbance, interruption                                    |Ich arbeite lieber in einem ruhigen Umfeld ohne Störungen.                                                             |I prefer to work in a quiet environment without disturbances.                                                     |          1837
eine Aktion planen                     |to plan an action                      |die Aktion, -en                                                                  |die                             |action, campaign                                             |Die Teams planen eine gemeinsame Aktion für Kinder.                                                                    |The teams are planning a joint action for children.                                                               |          1838
20-jährig                              |20 years old                           |-jährig                                                                          |adj                             |years (old)                                                  |Das fünfjährige Kind sucht seine Mutter.                                                                               |The five-year-old child is looking for his mother.                                                                |          1839
künstliche Intelligenz                 |artificial intelligence                |künstlich                                                                        |adj                             |artificial                                                   |Er muss künstlich ernährt werden.                                                                                      |He needs to be artificially nourished.                                                                            |          1840
eine Auseinandersetzung haben          |to have an argument                    |die Auseinandersetzung, -en                                                      |die                             |argument, quarrel                                            |Mein Mann und ich haben fast nie Auseinandersetzungen.                                                                 |My husband and I almost never have arguments.                                                                     |          1841
den Garten pflegen                     |to care for the garden                 |pflegen, pflegt, pflegte, hat gepflegt                                           |verb                            |to care, cultivate                                           |Sie pflegt die kranken Patienten im Krankenhaus.                                                                       |She cares for the sick patients in the hospital.                                                                  |          1842
