#frequency_rank|word_de|part_of_speech|word_en|sentence_de|sentence_en
3222|der Kerl, -e|der|fellow, bloke|Er sieht aus wie ein freundlicher Kerl.|He looks like a kind fellow.
3223|mechanisch|adj|mechanical|Das Auto hat ein mechanisches Problem.|The car has a mechanical problem.
3224|verdoppeln, verdoppelt, verdoppelte, hat verdoppelt|verb|to double|In diesem Jahr verdoppelt die Firma ihren Gewinn.|This year the company doubles its profits.
3225|der Ausgleich, -e|der|balancing, compensation, change|Als Ausgleich zu seinem Job macht er viel Sport.|As a balance to his job he does a lot of sports.
3226|symmetrisch|adj|symmetrical|Seine Ohren sind nicht symmetrisch, das rechte Ohr ist größer.|His ears are not symmetrical; his right ear is bigger.
3227|anklagen, klagt an, klagte an, hat angeklagt|verb|to accuse|Er wird des Mordes an seiner Frau angeklagt.|He is accused of murdering his wife.
3228|die Behinderung, -en|die|obstruction, handicap|Die großen Steine auf der Straße stellen eine Behinderung für die Fahrer dar.|The large stones on the road are a hindrance for the drivers.
3229|das Dokument, -e|das|document|Lena füllt beim Amt die Dokumente für ihre staatliche Unterstützung aus.|Lena fills out the documents to apply for state support at the agency.
3230|staunen, staunt, staunte, hat gestaunt|verb|to be astonished|Sie staunt über den Mut ihrer Tochter.|She is astonished at her daughter’s courage.
3231|die Varianz, -en|die|variance|Die Studenten sollen den Mittelwert und die Varianz berechnen.|The students are supposed to calculate the mean value and the variance.
3232|zuwenden, wendet zu, wendete zu, hat zugewendet|verb|to turn toward, devote oneself to|Nach dem Anruf wendet er sich wieder seiner Arbeit zu.|After the call he turns back to his work.
3233|abschneiden, schneidet ab, schnitt ab, hat abgeschnitten|verb|to cut off|Sie schneidet jedem eine Scheibe Brot ab.|She cuts off a slice of bread for everyone.
3234|anscheinend|adj|apparent|Anscheinend trinkt Max keinen Kaffee, denn er bestellt Tee.|Apparently Max doesn’t drink coffee, because he orders tea.
3235|die Demonstration, -en|die|demonstration|Über tausend Menschen nehmen an der Demonstration gegen den Abbau von Kohle teil.|More than a thousand people are taking part in the demonstration against coal mining.
3236|die Linse, -n|die|lens, lentil|Manchmal trägt Herr Abdoullah seine Brille und manchmal Linsen.|Sometimes Mr. Abdoullah wears his glasses and sometimes contact lenses.
3237|polnisch|adj|Polish|Die Familie lebt nahe der polnischen Grenze.|The family lives near the Polish border.
3237|polnisch|das|Polish|Mona spricht Polnisch und Deutsch.|Mona speaks Polish and German.
3238|der Posten, -|der|post, position|Sie hat alle notwendigen Qualifikationen für den Posten.|She has all the necessary qualifications for the position.
3239|zuschauen, schaut zu, schaute zu, hat zugeschaut|verb|to watch|Die Eltern schauen ihren Kindern beim Spielen zu.|The parents are watching their children play.
3240|abhalten, hält ab, hielt ab, hat abgehalten|verb|to keep from|Elsa kann ihn gerade noch davon abhalten, einen großen Fehler zu machen.|Elsa can just keep him from making a big mistake.
3241|die Arterie, -n|die|artery|Das Blut fließt durch die Arterien.|Blood flows through the arteries.
3242|die Öffnung, -en|die|opening, hole|Die Kinder klettern durch eine kleine Öffnung im Zaun.|The children climb through a small opening in the fence.
3243|senden, sendet, sendete, hat gesendet|verb|to send, broadcast|Heute senden wir live aus London, wo Prinz Harry heiratet.|Today we’re broadcasting live from London, where Prince Harry is getting married.
3244|gleiten, gleitet, glitt, ist geglitten|verb|to glide|Der Fisch gleitet durch das Wasser.|The fish glides through the water.
3245|Norwegen|das|Norway|Norwegen produziert viel Strom.|Norway produces a lot of electricity.
3246|schildern, schildert, schilderte, hat geschildert|verb|to describe|Der Zeuge schildert der Polizei den Ablauf des Unfalls.|The witness describes the course of the accident to the police.
3247|der Schrank, -̈e|der|cabinet, wardrobe|Sie hängt das Kleid zurück in den Schrank.|She hangs the dress back in the wardrobe.
3248|der Terrorismus|der|terrorism|Europäische Großstädte waren in den letzten Jahren häufig Ziel von Terrorismus.|European cities have often been the target of terrorism in recent years.
3249|der Wechselkurs, -e|der|exchange rate|Der Wechselkurs für Euro und Dollar ist relativ stabil.|The exchange rate for the euro and the dollar is relatively stable.
3250|die Faust, -̈e|die|fist|Albert schlägt seinem Bruder mit der Faust ins Gesicht.|Albert punches his brother in the face with his fist.
3251|flüchten, flüchtet, flüchtete, ist geflüchtet|verb|to flee|Viele Menschen flüchten wegen des Kriegs aus ihrem Land.|Many people are fleeing their country because of the war.
3252|lagern, lagert, lagerte, hat gelagert|verb|to store, camp|Milch muss kühl gelagert werden.|Milk has to be stored in a cool place.
3253|übertreiben, übertreibt, übertrieb, hat übertrieben|verb|to exaggerate|Du darfst nicht alles glauben, was sie sagt. Sie übertreibt gerne.|You can’t believe everything she says. She likes to exaggerate.
3254|die Veröffentlichung, -en|die|publication|Alle warten auf die Veröffentlichung des letzten Bandes.|Everyone is waiting for the release of the last volume.
3255|der Bescheid, -e|der|information, reply|Der Bescheid über die staatliche Förderung kommt per Post.|The decision on the state subsidy will be sent by mail.
3256|versagen, versagt, versagte, hat versagt|verb|to fail|In der Prüfung versagt er völlig.|He fails the test completely.
3257|der Innenminister, -|der|Minister of the Interior|Der Innenminister ist der Minister für innere Angelegenheiten.|The Minister of the Interior is the Minister for Internal Affairs.
3258|klinisch|adj|clinical|Das Krankenhaus führt eine klinische Studie durch.|The hospital is conducting a clinical trial.
3259|wiegen, wiegt, wog, hat gewogen|verb|to weigh|Miriams Baby wiegt bei der Geburt 3000 Gramm.|Miriam’s baby weighs 3,000 grams at birth.
3260|der Eingriff, -e|der|intervention, interference|Der operative Eingriff war ein Erfolg.|The surgical intervention was a success.
3261|indisch|adj|Indian|Pakora ist ein indisches Gericht.|Pakora is an Indian dish.
3261|indisch|das|Indian|Rajesh Patel spricht zu Hause Indisch und in der Schule Deutsch.|Rejesh Patel speaks Indian at home and German at school.
3262|die Psychologie, -n|die|psychology|Elsa studiert Psychologie in den Niederlanden.|Elsa studies psychology in the Netherlands.
3263|die Digitalisierung, -en|die|digitalization|Die Digitalisierung entwickelt sich sehr schnell.|Digitalization is developing very fast.
3264|die Einsicht, -en|die|view, insight|Das Gericht gewährt dem Anwalt Einsicht in alle Akten.|The court gives the lawyer access to all files.
3265|das Fräulein, -|das|young lady, miss|Räum endlich dein Zimmer auf, junges Fräulein!|Clean up your room at last, young lady!
3266|die Rose, -n|die|rose|Rote Rosen sind Sissis liebste Blumen.|Red roses are Sissi’s favorite flowers.
3267|der Rückgang, -̈e|der|fall, decline|Das Unternehmen verzeichnet einen Rückgang des Umsatzes.|The company reports a decline in sales.
3268|verwirren, verwirrt, verwirrte, hat verwirrt|verb|to confuse|Paul versteht die Frage nicht und guckt deswegen verwirrt.|Paul doesn’t understand the question and looks confused.
3269|aufeinander|adv|into/onto one another|Leg die Bücher einfach aufeinander.|Just place the books onto one another.
3270|demonstrieren, demonstriert, demonstrierte, hat demonstriert|verb|to demonstrate|Die Arbeiter demonstrieren für bessere Löhne.|The workers are demonstrating for better wages.
3271|einleiten, leitet ein, leitete ein, hat eingeleitet|verb|to introduce|Die neue Verwaltung leitet viele Änderungen ein.|The new administration introduces many changes.
3272|entwerfen, entwirft, entwarf, hat entworfen|verb|to design|Maja entwirft einen neuen Plan für die Firma.|Maja designs a new plan for the company.
3273|Hunderte|(pl)|hundreds|Es versammeln sich Hunderte von Menschen für die Demonstration.|Hundreds of people are gathering for the demonstration.
3274|der Leib, -er|der|body|Sie zittert am ganzen Leib.|She’s shivering all over her body.
3275|objektiv|adj|objective|Der Schiedsrichter beurteilt die Situation objektiv.|The referee judges the situation objectively.
3276|schaden, schadet, schadete, hat geschadet|verb|to damage, harm|Rauchen schadet der Gesundheit.|Smoking damages your health.
3277|stumm|adj|dumb, silent, mute|Das Mädchen kann nicht sprechen, sie ist stumm zur Welt gekommen.|The girl can’t speak; she was born mute.
3278|tja|interj|well|Tja, was soll man dazu sagen?|Well, what can you say?
3279|der Zaun, -̈e|der|fence|Ein Zaun trennt unseren Garten vom Garten nebenan.|A fence separates our garden from the garden next door.
3280|der Empfänger, -|der|recipient|Der Empfänger des Pakets ist nicht zu Hause.|The recipient of the package is not at home.
3281|die Hochzeit, -en|die|wedding|Am Wochenende bin ich auf einer Hochzeit.|I’m at a wedding this weekend.
3282|maßgeblich|adj|significant, decisive|Die Beweise sind maßgeblich für das Urteil.|The evidence is decisive for the judgment.
3283|das Quartal, -e|das|quarter|Im dritten Quartal sind die Verluste besonders gestiegen.|Losses increased in particular in the third quarter.
3284|die Spalte, -n|die|fissure, cleft, column|Tragen Sie in die erste Spalte der Tabelle das Datum ein.|Enter the date in the first column of the table.
3285|der Zettel, -|der|piece of paper, note|Ich brauche einen Zettel, um mir die Nummer aufzuschreiben.|I need a note to write down the number.
3286|die Abgrenzung, -en|die|boundary, disassociation|Eine Abgrenzung des privaten Lebens von der Öffentlichkeit ist unbedingt notwendig.|A separation of private life from public life is absolutely necessary.
3287|die Jacke, -n|die|jacket|Er hängt seine Jacke über den Stuhl.|He’s hanging his jacket over the chair.
3288|die Präferenz, -en|die|preference|Sie hat eine Präferenz für blonde Männer.|She has a preference for blonde men.
3289|übereinstimmen, stimmt überein, stimmte überein, hat übereingestimmt|verb|to accord, correspond, agree|Theorie und Praxis stimmen nicht überein.|Theory and practice do not agree.
3290|die Unterscheidung, -en|die|differentiation, distinction|Eine Unterscheidung von “er isst” und “er ist” ist sehr wichtig.|A distinction between “he eats” and “he is” is very important.
3291|die Dichtung, -en|die|seal, literature, poetry|Die Dichtung verhindert, dass Wasser eindringt.|The seal prevents water from entering.
3292|einhalten, hält ein, hielt ein, hat eingehalten|verb|to observe|Alle Arbeitnehmer müssen die Vorschriften für Sicherheit einhalten.|All workers must observe the safety regulations.
3293|der Sachverhalt, -e|der|facts|Der Sachverhalt ist sehr kompliziert.|The facts are very complicated.
3294|sorgfältig|adj|careful|Dieses umfangreiche Projekt erfordert sorgfältige Planung.|This extensive project requires careful planning.
3295|untereinander|adv|among (our)selves, with each other|Wichtig ist eine gute Kommunikation untereinander.|Good communication among ourselves is important.
3296|unterhalb|prep|below, underneath|Unterhalb von Köln liegt Bonn und oberhalb die Stadt Essen.|Below Cologne is Bonn and above the city of Essen.
3297|verdeutlichen, verdeutlicht, verdeutlichte, hat verdeutlicht|verb|to clarify, explain|Der Lehrer verdeutlicht seine Aussage anhand von Beispielen.|The teacher clarifies his statement with examples.
3298|der Ertrag, -̈e|der|yield|Der Bauer freut sich über den hohen Ertrag vom Markt.|The farmer is pleased with the high yield from the market.
3299|der Finanzminister, -|der|finance minister|Wolfgang Schäuble ist ein ehemaliger deutscher Finanzminister.|Wolfgang Schäuble is a former German finance minister.
3300|der Vormittag, -e|der|morning|Wir treffen uns morgen Vormittag zum Frühstück.|We’re meeting for breakfast tomorrow morning.
3301|achtzig|num|eighty|Meine Großmutter wird dieses Jahr achtzig.|My grandmother’s turning eighty this year.
3302|dynamisch|adj|dynamic|Sie ist jung und hat viel Energie, sie ist ein sehr dynamisches Mädchen.|She is young and has a lot of energy, she is a very dynamic girl.
3303|die Gerechtigkeit, -en|die|justice|Der Superheld kämpft für Gerechtigkeit.|The superhero fights for justice.
3304|abstellen, stellt ab, stellte ab, hat abgestellt|verb|to turn off, shut down, park, put|Mark stellt das Glas auf dem Tisch ab.|Mark puts the glass on the table.
3305|die Droge, -n|die|drug|Viele Drogen machen schnell abhängig.|A lot of drugs make you addicted fast.
3306|fett|adj|fat, greasy, rich|Dein Hund ist ganz schön fett. Bewegt er sich nicht genug?|Your dog is quite fat. Doesn’t it move enough?
3307|verbrauchen, verbraucht, verbrauchte, hat verbraucht|verb|to use, consume|Wir verbrauchen viel Wasser in unserem Haushalt.|We use a lot of water in our household.
3308|ausweisen, weist aus, wies aus, hat ausgewiesen|verb|to identify, expel|Die neue Regierung weist alle ausländischen Diplomaten aus.|The new government expels all foreign diplomats.
3309|biegen, biegt, bog, hat gebogen|verb|to bend, turn|Das Auto biegt um die Ecke.|The car turns the corner.
3310|die Notwendigkeit, -en|die|necessity|Ich nehme den Job aus Notwendigkeit, weil ich kein Geld mehr habe.|I’m taking the job out of necessity because I’m out of money.
3311|die Reihenfolge, -n|die|order|Meine Großmutter muss ihre Medikamente in einer bestimmten Reihenfolge nehmen.|My grandmother has to take her medications in a certain order.
3312|spazieren, spaziert, spazierte, ist spaziert|verb|to (go for a) walk, stroll|Er spazierte durch die Stadt.|He strolled through the city.
3313|verweigern, verweigert, verweigerte, hat verweigert|verb|to refuse|An der Grenze verweigern sie ihnen, das Land zu betreten.|At the border, they refuse to let them enter the country.
3314|die Zahlung, -en|die|payment|Die Bank zieht die Zahlung an die Versicherung immer Ende des Monats ein.|The bank collects the insurance payment always at the end of the month.
3315|argumentieren, argumentiert, argumentierte, hat argumentiert|verb|to argue|Kristin versteht es, sachlich zu argumentieren.|Kristin knows how to argue objectively.
3316|der Athlet, -en|der|athlete|Die Jury beurteilt die Leistung der Athleten.|The jury judges the performance of the athletes.
3317|beißen, beißt, biss, hat gebissen|verb|to bite|Du kannst den Hund streicheln, er beißt nicht.|You can pet the dog; it won’t bite you.
3318|harmonisch|adj|harmonious|Das Instrument hat einen harmonischen Klang.|The instrument has a harmonious sound.
3319|die Kneipe, -n|die|pub, bar|Wollen wir heute Abend nach der Arbeit in die Kneipe gehen?|Do you want to go to the pub tonight after work?
3320|absagen, sagt ab, sagte ab, hat abgesagt|verb|to cancel|Wir müssen die Veranstaltung wegen des schlechten Wetters absagen.|We have to cancel the event because of bad weather.
3321|die Begeisterung, -en|die|enthusiasm|Nach dem Unfall hat er seine Begeisterung für Sport verloren.|After the accident he lost his enthusiasm for sports.
3322|fix|adj|quick, fixed|Das Mädchen hat einen fixen Verstand.|The girl has a quick mind.
3323|die Frucht, -̈e|die|fruit|Diese Frucht ist noch nicht reif, deswegen ist sie sauer und nicht süß.|This fruit is not yet ripe; therefore, it is sour and not sweet.
3324|Kanada|das|Canada|Meine Eltern fliegen im Herbst nach Kanada.|My parents are flying to Canada in autumn.
3325|der Philosoph, -en|der|philosopher|Platon war ein griechischer Philosoph.|Plato was a Greek philosopher.
3326|die Übersicht, -en|die|overview|Der Verlag erstellt eine Übersicht über die neuesten Publikationen.|The publisher provides an overview of the latest publications.
3327|weitergeben, gibt weiter, gab weiter, hat weitergegeben|verb|to pass on|Er gibt die gute Nachricht an seine Schwestern weiter.|He passes on the good news to his sisters.
3328|der Zinssatz, -̈e|der|interest rate|Die Zentralbank hebt den Zinssatz.|The central bank raises the interest rate.
3329|das Abitur, -e|das|school leaving exam, A levels|Nach dem Abitur besucht sie die Universität.|After her A levels, she went to the university.
3330|Asien|das|Asia|Asien ist ein beliebtes Reiseziel.|Asia is a popular destination.
3331|einlassen, lässt ein, ließ ein, hat eingelassen|verb|to let in, get involved|Er öffnet die Tür und lässt mich ein.|He opens the door and lets me in.
3332|die Geste, -n|die|gesture|Es ist eine nette Geste, Blumen mitzubringen.|It’s a nice gesture to bring flowers.
3333|die Vorgabe, -n|die|guideline|Wir führen den Auftrag gemäß der Vorgaben aus.|We are carrying out the order according to the guidelines.
3334|die Abschreibung, -en|die|deduction, depreciation|Der Berater für Steuern erklärt die lineare Abschreibung.|The tax consultant explains straight-line depreciation.
3335|abstrakt|adj|abstract|Der Künstler ist berühmt für seine abstrakten Gemälde.|The artist is famous for his abstract paintings.
3336|ästhetisch|adj|aesthetic|Die Kritiker bewundern das Gemälde wegen seines ästhetischen Wertes.|The critics admire the painting for its aesthetic value.
3337|einschalten, schaltet ein, schaltete ein, hat eingeschaltet|verb|to switch on|Ich schalte das Licht ein.|I’m switching on the light.
3338|der Klang, -̈e|der|sound, tone|Dieses Instrument hat einen sehr charakteristischen Klang.|This instrument has a very characteristic sound.
3339|qualifizieren, qualifiziert, qualifizierte, hat qualifiziert|verb|to qualify|Sie hat sich für den Wettbewerb qualifiziert.|She qualified for the competition.
3340|die Säule, -n|die|column, pillar|Das Dach wird von zwei Säulen gestützt.|The roof is supported by two pillars.
3341|übergeben, übergibt, übergab, hat übergeben|verb|to hand over, transfer|Das Paket wird dem Kunden übergeben.|The package is handed over to the customer.
3342|aufklären, klärt auf, klärte auf, hat aufgeklärt|verb|to clear, clarify, resolve|Die Polizei klärte den Mord nach zehn Jahren endlich auf.|The police finally resolved the murder after ten years.
3343|buchen|verb|to book|Wir buchen heute unseren Urlaub nach Schweden.|We are booking our vacation in Sweden today.
3344|die Depression, -en|die|depression|Menschen mit Depression können Hilfe in einer Therapie finden.|People suffering from depression can find help in therapy.
3345|kündigen, kündigt, kündigte, hat gekündigt|verb|to terminate|Sie können den Vertrag vor seinem Ablauf kündigen.|You can terminate the contract before its expiration.
3346|strukturell|adj|structural|Die strukturellen Änderungen haben Auswirkung auf die Mitarbeiter.|The structural changes have an impact on the employees.
3347|die Anzeige, -n|die|display, advertisement|Christoph meldet sich auf die Anzeige in der Zeitung.|Christoph answers the advertisement in the newspaper.
3348|der Chinese, -n|der|Chinese|Viele Chinesen leben außerhalb von China.|Many Chinese live outside China.
3349|festnehmen, nimmt fest, nahm fest, hat festgenommen|verb|to arrest, detain|Die Polizei verfolgt den Verbrecher und kann ihn festnehmen.|The police are following the criminal and can arrest him.
3350|fortfahren, fährt fort, fuhr fort, ist fortgefahren|verb|to continue, proceed, carry on|Nach der Pause fährt der Professor mit der Vorlesung fort.|After the break, the professor continues with the lecture.
3351|realistisch|adj|realistic|Der Film bietet eine realistische Darstellung der Geschichte.|The film offers a realistic representation of the story.
3352|tödlich|adj|fatal|Diese Krankheit verläuft meist tödlich.|This disease is usually fatal.
3353|unterschreiben, unterschreibt, unterschrieb, hat unterschrieben|verb|to sign|Miriam unterschreibt den Vertrag für ihren neuen Arbeitsplatz.|Miriam signs the contract for her new job.
3354|verhaften, verhaftet, verhaftete, hat verhaftet|verb|to arrest|Die Polizei verhaftet den Täter.|The police arrest the perpetrator.
3355|die Bombe, -n|die|bomb|In diesem Gebiet liegen unter der Erde noch Bomben aus der Zeit des Krieges.|There are still bombs from the time of the war underground in this area.
3356|heutzutage|adv|nowadays|Heutzutage kann man anziehen, was man will.|Nowadays you can wear whatever you want.
3357|die Hitze, -n|die|heat|Wegen der Hitze sitzen alle im Schatten.|Because of the heat, everyone’s in the shade.
3358|die Kammer, -n|die|chamber, (small) room|In der Kammer neben der Küche lagert Helmut sein Essen.|Helmut stores his food in the chamber next to the kitchen.
3359|notieren, notiert, notierte, hat notiert|verb|to note|Ich notiere seine Telefonnummer.|I’ll note his phone number.
3360|die Solidarität, -en|die|solidarity|Die Situation stellt die Solidarität zwischen den Mitgliedsstaaten der UN in Frage.|The situation raises questions about solidarity between UN member states.
3361|besorgt|adj|worried, anxious, afraid|Lise guckt besorgt auf die Rechnung.|Lise glances anxiously at the bill.
3362|das Konto, -en|das|account|Ich muss Geld von meinem Konto abheben.|I need to withdraw money from my account.
3363|der Lärm|der|noise|Der Lärm der Maschine ist unerträglich, sie ist viel zu laut.|The noise of the machine is unbearable; it is much too loud.
3364|die Option, -en|die|option|Bitte wählen Sie unten die entsprechende Option aus.|Please select the appropriate option below.
3365|der Rechner, -|der|computer, calculator|Wer hat Zugang zu diesem Rechner?|Who has access to this computer?
3366|der Schild, -e|das|sign, shield, tag|Auf der Autobahn zeigen die Schilder die legale Geschwindigkeit an.|On the highway, the signs show the legal speed.
3367|die Show, -s|die|show|Für die Show laden sie einige berühmte Schauspieler als Gäste ein.|For the show they invite some famous actors as guests.
3368|die Unruhe, -n|die|unrest, unease, disquiet, upheaval|Er läuft voller Unruhe auf und ab.|He walks up and down full of unease.
3369|bequem|adj|comfortable|Unser neues Bett ist sehr bequem.|Our new bed is very comfortable.
3370|Hessen|das|Hesse|Das Bundesland Hessen liegt in der Mitte Deutschlands.|The federal state of Hesse is located in the middle of Germany.
3371|der Kindergarten, -̈|der|nursery school, kindergarten|Mathilde geht schon in den Kindergarten.|Mathilde is already going to kindergarten.
3372|das Rätsel, -|das|puzzle, mystery|Wenn wir weitere Hinweise finden, können wir das Rätsel lösen.|If we find more clues, we can solve the mystery.
3373|der Song, -s|der|song|Der Song kommt heute schon zum dritten Mal im Radio.|This is the third time the song has been on the radio.
3374|soviel|conj|as far as|Soviel ich weiß, lebt er immer noch in Berlin.|As far as I know, he still lives in Berlin.
3375|der Teufel, -|der|devil|Der Teufel lebt in der Hölle.|The devil lives in hell.
3376|die Zielgruppe, -n|die|target group|Bevor wir Ideen für das neue Produkt sammeln, legen wir die Zielgruppe fest.|Before we collect ideas for the new product, we determine the target group.
3377|der Anzug, -̈e|der|suit|Er kauft einen neuen Anzug für seine Hochzeit.|He’s buying a new suit for his wedding.
3378|erkranken, erkrankt, erkrankte, ist erkrankt|verb|to be taken ill, fall ill|Immer mehr Menschen erkranken an Krebs.|More and more people are falling ill with cancer.
3379|die Herrschaft, -en|die|power, reign|Die Mehrheit der Bevölkerung leidet unter der Herrschaft des neuen Präsidenten.|The majority of the population suffers under the reign of the new president.
3380|infolge|prep|as a result of|Der Fluss ist infolge des starken Regens extrem hoch.|The river is extremely high as a result of the heavy rain.
3381|nützlich|adj|useful|Ein Laptop ist sehr nützlich, wenn ich unterwegs im Zug arbeite.|A laptop is very useful when I’m working on the train.
3382|oberhalb|prep|above|Das Hotel liegt auf einem Hügel oberhalb der Stadt.|The hotel is located on a hill above the town.
3383|der Schein, -e|der|light, appearance, certificate|Im Schein der Kerze kann man nur wenig sehen.|In the light of the candle you can only see a little.
3384|übersehen, übersieht, übersah, hat übersehen|verb|to overlook|Der Fahrer übersieht den Mann auf der Straße und fährt ihn an.|The driver overlooks the man on the road and bumps into him.
3385|die Bedrohung, -en|die|threat|Die Krankheit ist in unserem Land keine akute Bedrohung mehr.|The disease is no longer an acute threat in our country.
3386|die Bereitschaft, -en|die|willingness|Ein Team sollte eine allgemeine Bereitschaft zur Zusammenarbeit zeigen.|A team needs to show general willingness to cooperate.
3387|der Blutdruck, -̈e|der|blood pressure|Regelmäßige Bewegung senkt den Blutdruck.|Regular exercise lowers blood pressure.
3388|die Front, -en|die|front|Die Soldaten werden bald von der Front nach Hause geschickt.|The soldiers will soon be sent home from the front.
3389|physisch|adj|physical|Er hasst jeglichen physischen Kontakt. Er mag es nicht einmal, jemandem die Hand zu schütteln.|He hates all physical contact. He doesn’t even like shaking hands.
3390|das Verbot, -e|das|ban, prohibition|Er muss eine hohe Strafe zahlen, weil er das Verbot von Handys am Steuer ignoriert hat.|He has to pay a large fine because he ignored the ban on mobile phones at the wheel.
3391|die Verschiebung, -en|die|shift, postponement|Nach den Wahlen kommt es zu einer Verschiebung der Macht.|There will be a shift in power after the elections.
3392|zugrunde|adv|(form) the basis, (go) to ruin|Der Analyse liegen die Daten der letzten Umfrage zugrunde.|The data from the previous survey form the basis of the analysis.
3393|abweichen, weicht ab, wich ab, ist abgewichen|verb|to deviate, differ|Die aktuellen Temperaturen weichen stark von dem ab, was für diese Zeit normal ist.|The current temperatures deviate strongly from what is normal for this time.
3394|die Empfehlung, -en|die|recommendation|Ich kaufe den Computer auf Empfehlung von Robin.|I’m buying the computer on Robin’s recommendation.
3395|gespannt|adj|eager, anxious, tense|Ich bin gespannt, sie nach so langer Zeit wiederzusehen.|I’m eager to see her after such a long time.
3396|sicherstellen, stellt sicher, stellte sicher, hat sichergestellt|verb|to confiscate, guarantee, ensure|Wir müssen sicherstellen, dass die Maschinen gut funktionieren.|We have to ensure that the machines work well.
3397|stundenlang|adj|(lasting) for hours|Die stundenlange Fahrt durch das Land ist anstrengend.|Driving for hours through the country is exhausting.
3398|verfassen, verfasst, verfasste, hat verfasst|verb|to draw up, write|Herr Jarvis verfasst den Vertrag für den Kauf des Hauses.|Mr. Jarvis draws up the contract for the purchase of the house.
3399|die Vermittlung, -en|die|negotiation, placement, mediation|Die Agentur für Arbeit ist für die Vermittlung von Arbeitsplätzen zuständig.|The employment agency is responsible for work placement.
3400|der Wohlstand|der|prosperity, wealth|Schreckliche Armut und großer Wohlstand bestehen nebeneinander in der Stadt.|Terrible poverty and great wealth exist in the city side by side.
3401|der Felsen, -|der|rock|Wir sehen einige Vögel, die auf den Felsen im Meer sitzen.|We can see some birds sitting on the rocks in the sea.
3402|inklusive|prep|including|Das Haus kostet 200.000 Euro, inklusive der Möbel.|The house costs 200,000 euros, including the furniture.
3403|kognitiv|adj|cognitive|Das Kind verfügt über sehr gute kognitive Fähigkeiten.|The child has very good cognitive abilities.
3404|seinerseits|adv|on his part, for its/his part|Es ist ein Fehler seinerseits.|It’s a mistake on his part.
3405|zustehen, steht zu, stand zu, hat zugestanden|verb|to be entitled|Ihm steht die Hälfte der Gewinne zu.|He’s entitled to half the profits.
3406|auffällig|adj|conspicuous|Die alte Dame trägt einen auffälligen Hut mit roten Federn.|The old lady is wearing a conspicuous hat with red feathers.
3407|ausbrechen, bricht aus, brach aus, hat ausgebrochen|verb|to break out, erupt|Der Täter plant, aus dem Gefängnis auszubrechen.|The perpetrator is planning to break out of prison.
3408|die CD, -s|die|CD|Der Popstar veröffentlicht eine Reihe erfolgreicher CDs.|The pop star releases a series of successful CDs.
3409|die Durchführung, -en|die|carrying out|Die Durchführung der Wahlen verläuft problemlos.|The carrying out of the elections is going smoothly.
3410|der Humor, -e|der|humor|Ich verstehe seinen britischen Humor nicht.|I don’t understand his British humor.
3411|psychologisch|adj|psychological|Ihr neuer Roman ist ein psychologischer Thriller.|Her new novel is a psychological thriller.
3412|treu|adj|faithful|Die Band hat eine große und treue Gemeinde aus Fans in England.|The band has a large and faithful community of fans in England.
3413|die Erziehung|die|upbringing, education|Ihre strenge Erziehung zerstört die emotionale Beziehung zwischen Eltern und Kind.|Their strict upbringing destroys the emotional relationship between parents and child.
3414|kommentieren, kommentiert, kommentierte, hat kommentiert|verb|to comment|Der Reporter kommentiert die aktuellen Ereignisse.|The reporter comments on current events.
3415|wonach|pron|what . . . for, what . . . of|Wonach suchst du?|What are you looking for?
3416|die Datenbank, -en|die|database|Wir speichern alle unsere Kundendaten in einer Datenbank.|We store all our customer data in a database.
3417|die Meldung, -en|die|report|Im Radio kommt eine Meldung zu einem großen Unfall.|There’s a report of a major accident on the radio.
3418|der Premier, -s|der|prime minister|Ein Premier ist in vielen Ländern der Regierungschef.|A prime minister is the head of government in many countries.
3419|die Zeichnung, -en|die|drawing|Auf der Zeichnung sieht man die Berge und das Meer.|The drawing shows the mountains and the sea.
3420|agieren, agiert, agierte, hat agiert|verb|to act|UNICEF agiert weltweit.|UNICEF acts worldwide.
3421|der Befehl, -e|der|order, command|Der Soldat erfüllt den Befehl des Offiziers.|The soldier obeys the officer’s order.
3422|der Christ, -en|der|Christian|Felix ist ein gläubiger Christ.|Felix is a believing Christian.
3423|hi|interj|hi|Hi, wie geht’s dir?|Hi, how are you?
3424|schleppen, schleppt, schleppte, hat geschleppt|verb|to tow, drag|Mein kleiner Sohn schleppt seinen großen Koffer ganz allein.|My little son drags his big suitcase all by himself.
3425|der Treffer, -|der|hit, goal|Der Spieler erzielt zwei Treffer während des Spiels.|The player scores two goals during the game.
3426|der Helfer, -|der|helper, accomplice|Der Verein ist immer auf der Suche nach freiwilligen Helfern.|The association is always looking for voluntary helpers.
3427|der Vizepräsident, -en|der|vice president|Wenn der Präsident zurücktritt, übernimmt der Vizepräsident seine Stelle.|If the president resigns, the vice president takes his place.
3428|die Haustür, -en|die|front door|Mein Nachbar klingelt an der Haustür.|My neighbor rings at the front door.
3429|die Landesregierung, -en|die|state government|Die Landesregierung stellt für das Projekt eine Million Euro bereit.|The state government is providing one million euros for the project.
3430|aggressiv|adj|aggressive|Der Polizei gelingt es, den aggressiven Mann zu beruhigen.|The police manage to calm the aggressive man down.
3431|definitiv|adj|definite, definitive|Frau Schwarz erwartet eine definitive Entscheidung bis morgen.|Mrs. Schwarz expects a definitive decision by tomorrow.
